Agency,Local Code,County,Township,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Name,Roadway Suffix,Roadway Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Intersecting Road Number,Mile Marker,Interchange,Corporate Limits?,Property Type,Feet From,Direction,Latitude,Longitude,Roadway Class,Traffic Control Devices?,Aggressive Driving?,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Damage Estimate,Manner of Collision,Unique Location Id,State Property Damage?,Traffic Control
INDIANA UNIV BLOOMINGTON PD,220353,MONROE,BLOOMINGTON,BLOOMINGTON,1/31/22,3:10 PM,2,,1,0,0,,E 3RD ST,,,,,E 3RD ST,S FESS AVE,,,,Y,,0,,39.1642823,-86.52587227,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$5001 TO $10000,REAR END,SFESSAVEE3RDST,0,
MONROE SD,M22A22317,MONROE,CLEAR CREEK,BLOOMINGTON,9/10/22,5:51 PM,1,,0,0,0,,S STRAIN RIDGE RD,,,,,S STRAIN RIDGE RD,E MONROE DAM RD,,,,N,,0,,39.01853414,-86.52285673,COUNTY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,T-INTERSECTION,,ASPHALT,ROADWAY SURFACE CONDITION,$5001 TO $10000,RAN OFF ROAD,SSTRAINRIDGERDEMONROEDAMRD,0,
ELLETTSVILLE PD,E2202554,MONROE,RICHLAND,ELLETTSVILLE,7/9/22,9:59 AM,2,0,0,0,0,,SALE,ST,,,,SALE,SR46,,,,Y,,25,S,,,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,SAME DIRECTION SIDESWIPE,SALESTSR46HWY,0,LANE CONTROL
BLOOMINGTON PD,B22-28388,MONROE,VAN BUREN,BLOOMINGTON,7/24/22,3:00 PM,2,,0,0,0,,W LILAC LN,,,,,W LILAC LN,,,,,Y,,0,,39.12903209,-86.58514853,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,IMPROPER LANE USAGE,$1001 TO $2500,OPPOSITE DIRECTION SIDESWIPE,WLILACLN,0,
INDIANA UNIV BLOOMINGTON PD,220963,MONROE,BLOOMINGTON,BLOOMINGTON,3/11/22,11:03 PM,2,,0,0,0,,N UNION ST,,,,,N UNION ST,E 10TH ST,,,,Y,,0,,39.17162144,-86.50947497,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,UNSAFE BACKING,$1001 TO $2500,BACKING CRASH,NUNIONSTE10THST,0,
MONROE SD,M22A12712,MONROE,VAN BUREN,BLOOMINGTON,6/1/22,8:02 AM,1,,0,0,0,3585,W STATE RD 45,,,,,W STATE RD 45,,,,,N,,0,,39.14201439,-86.58005292,PRIVATE DRIVE,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$5001 TO $10000,LEFT TURN,WSTATERD45,0,
MONROE SD,M22A2882,MONROE,VAN BUREN,ELLETTSVILLE,2/7/22,12:17 AM,1,,0,0,0,,W TEMPERANCE ST,,,,,W TEMPERANCE ST,N MATHEWS DR,,,,Y,,0,,39.23483193,-86.62629408,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,T-INTERSECTION,,ASPHALT,UNSAFE SPEED,$2501 TO $5000,RAN OFF ROAD,WTEMPERANCESTNMATHEWSDR,0,
BLOOMINGTON PD,B22-17067,MONROE,PERRY,BLOOMINGTON,5/10/22,2:47 PM,2,,0,0,0,,S ROGERS ST,,,,,S ROGERS ST,W PATTERSON DR,,,,Y,,0,,39.15345462,-86.5387196,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE LANE MOVEMENT,$1001 TO $2500,REAR END,WPATTERSONDRSROGERSST,0,
INDIANA UNIV BLOOMINGTON PD,223911,MONROE,BLOOMINGTON,BLOOMINGTON,10/12/22,12:30 PM,2,,0,0,0,,E 10TH ST,,,,,E 10TH ST,,,,,Y,,0,,39.17127684,-86.49930355,PRIVATE DRIVE,,,,URBAN,N,N,N,,DARK (LIGHTED),CLOUDY,WET,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,$2501 TO $5000,BACKING CRASH,E10THST,0,
MONROE SD,M22A11112,MONROE,BENTON,BLOOMINGTON,5/14/22,7:47 AM,1,,1,0,0,,SHILO RD,,,,,SHILO RD,,,,,N,,0,,39.27015182,-86.44991345,COUNTY ROAD,,,,RURAL,N,N,N,,DAWN/DUSK,RAIN,WET,,NO JUNCTION INVOLVED,,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,$25001 TO $50000,OTHER - EXPLAIN IN NARRATIVE,SHILORD,0,
MONROE SD,M22A24746,MONROE,RICHLAND,ELLETTSVILLE,10/8/22,2:20 PM,1,,0,0,0,4645,W RICHLAND PLZ,,,,,W RICHLAND PLZ,,,,,Y,,0,,39.21370844,-86.594416,PRIVATE DRIVE,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$2501 TO $5000,OTHER - EXPLAIN IN NARRATIVE,WRICHLANDPLZ,0,
INDIANA UNIV BLOOMINGTON PD,222230,MONROE,BLOOMINGTON,BLOOMINGTON,6/23/22,12:00 AM,2,,0,0,0,,N FESS AVE,,,,,N FESS AVE,,,,,Y,,0,,39.17275936,-86.52606941,PRIVATE DRIVE,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNDER STEERING/UNDER CORRECTING,$1001 TO $2500,OPPOSITE DIRECTION SIDESWIPE,NFESSAVE,0,
MONROE SD,M22A21303,MONROE,PERRY,BLOOMINGTON,8/30/22,5:41 AM,2,,0,0,0,,W DILLMAN RD,,,,,W DILLMAN RD,STATE RD 37,,,,N,,0,,39.0929537,-86.54620475,,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,FIVE POINT OR MORE,,ASPHALT,ACCELERATOR FAILURE OR DEFECTIVE,$2501 TO $5000,HEAD ON BETWEEN TWO MOTOR VEHICLES,WDILLMANRDSTATERD37,0,
MONROE SD,M22A8727,MONROE,BLOOMINGTON,BLOOMINGTON,4/18/22,8:37 AM,2,,0,0,0,,W 7TH ST,,,,,W 7TH ST,N ROGERS ST,,,,N,,0,,39.16860466,-86.53861947,COUNTY ROAD,,,,URBAN,N,N,N,,DAWN/DUSK,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$5001 TO $10000,OPPOSITE DIRECTION SIDESWIPE,W7THSTNROGERSST,0,
BLOOMINGTON PD,B22-27982,MONROE,BLOOMINGTON,BLOOMINGTON,7/21/22,1:50 PM,2,,0,0,0,,STATE RD 45/46,,,,,STATE RD 45/46,E DISCOVERY PKWY,,,,Y,,0,,39.17524901,-86.50422281,STATE ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$5001 TO $10000,REAR END,STATERD45/46EDISCOVERYPKWY,0,
INDIANA UNIV BLOOMINGTON PD,221208,MONROE,BLOOMINGTON,BLOOMINGTON,4/1/22,12:40 AM,1,,0,0,0,,E 10TH ST,,,,,E 10TH ST,ACCESS DRIVE TO HILLTOP GARDEN,,,,Y,,898,,39.17156787,-86.5067803,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,WET,,NO JUNCTION INVOLVED,,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,$25001 TO $50000,RAN OFF ROAD,E10THSTACCESSDRIVETOHILLTOPGARDENS,0,
BLOOMINGTON PD,B22-07056,MONROE,BLOOMINGTON,BLOOMINGTON,3/3/22,7:52 AM,2,,0,0,0,,W BLOOMFIELD RD,,,,,W BLOOMFIELD RD,S STONE DR,,,,Y,,0,,39.150879,-86.567966,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,IMPROPER PASSING,$2501 TO $5000,SAME DIRECTION SIDESWIPE,WBLOOMFIELDRDSSTONEDR,0,
BLOOMINGTON PD,B22-28380,MONROE,BLOOMINGTON,BLOOMINGTON,7/24/22,3:10 PM,2,,0,0,0,,E ATWATER AVE,,,,,E ATWATER AVE,S SWAIN AVE,,,,Y,,0,,39.16306467,-86.51528156,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,UNSAFE LANE MOVEMENT,$10001 TO $25000,SAME DIRECTION SIDESWIPE,SSWAINAVEEATWATERAVE,0,
INDIANA UNIV BLOOMINGTON PD,221068,MONROE,BLOOMINGTON,BLOOMINGTON,3/21/22,4:45 PM,2,,0,0,0,509,E 4TH ST,,,,,E 4TH ST,,,,,Y,,0,,39.16568338,-86.52764616,PRIVATE DRIVE,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,IMPROPER TURNING,$1001 TO $2500,RIGHT TURN,E4THST,0,
MONROE SD,M22A12745,MONROE,PERRY,BLOOMINGTON,6/1/22,12:41 PM,2,,1,0,0,,S SARE RD,,,,,S SARE RD,E RHORER RD,,,,N,,0,,39.12149343,-86.51162759,LOCAL/CITY ROAD,,,,RURAL,Y,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,$5001 TO $10000,REAR END,SSARERDERHORERRD,0,
BLOOMINGTON PD,B22-21065,MONROE,BLOOMINGTON,BLOOMINGTON,6/6/22,4:18 PM,2,,0,0,0,,315 S COLLEGE MALL RD,,,,,315 S COLLEGE MALL RD,,,,,Y,,0,,39.16322342,-86.49776227,PRIVATE DRIVE,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,UNDER $1001,BACKING CRASH,315SCOLLEGEMALLRD,0,
BLOOMINGTON PD,B22-16002,MONROE,BLOOMINGTON,BLOOMINGTON,5/3/22,10:40 AM,3,,0,0,0,,N KINSER PIKE,,,,,N KINSER PIKE,SR 46,,,,Y,,0,,39.18644698,-86.53768104,STATE ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,,CONCRETE,FAILURE TO YIELD RIGHT OF WAY,$10001 TO $25000,RIGHT ANGLE,SR46NKINSERPIKE,0,
MONROE SD,M22A9496,MONROE,SALT CREEK,BLOOMINGTON,4/26/22,2:11 PM,3,,7,0,0,,STATE RD 46,,,,,STATE RD 46,E WOODVIEW DR,,,,N,,0,,39.15153578,-86.38610387,STATE ROAD,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,LEFT OF CENTER,$10001 TO $25000,OPPOSITE DIRECTION SIDESWIPE,STATERD46EWOODVIEWDR,0,
BLOOMINGTON PD,B22-32409,MONROE,PERRY,BLOOMINGTON,8/19/22,7:48 AM,2,,0,0,0,,E 4TH ST,,,,,E 4TH ST,S. MADISON ST,,,,Y,,200,,39.165613,-86.537419,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,UNKNOWN,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,OVERCORRECTING/OVERSTEERING,$1001 TO $2500,SAME DIRECTION SIDESWIPE,S.MADISONSTE4THST,0,
BLOOMINGTON PD,B22-40539,MONROE,PERRY,BLOOMINGTON,10/3/22,7:55 PM,1,,0,0,0,,S COLLEGE AVE,,,,,S COLLEGE AVE,W 2ND ST,,,,Y,,0,,39.16145423,-86.53500746,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$2501 TO $5000,RAN OFF ROAD,W2NDSTSCOLLEGEAVE,0,
INDIANA UNIV BLOOMINGTON PD,220626,MONROE,BLOOMINGTON,BLOOMINGTON,2/17/22,3:08 PM,1,,1,0,0,,E 7TH ST,,,,,E 7TH ST,STADIUM DRIVE,,,,Y,,0,,39.16885212,-86.51708133,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,T-INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,LEFT TURN,STADIUMDRIVEE7THST,1,
BLOOMINGTON PD,B22-25149,MONROE,BLOOMINGTON,BLOOMINGTON,7/3/22,9:20 AM,1,,0,0,0,,E 9TH ST,,,,,E 9TH ST,N PROW AVE,,,,Y,,0,,39.17044845,-86.52882046,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DARK (NOT LIGHTED),CLOUDY,DRY,,NO JUNCTION INVOLVED,,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$1001 TO $2500,SAME DIRECTION SIDESWIPE,NPROWAVEE9THST,0,
BLOOMINGTON PD,B22-15381,MONROE,PERRY,BLOOMINGTON,4/28/22,9:10 PM,2,,0,0,0,3900,E 3RD ST,,,,,E 3RD ST,,,,,Y,,0,,39.16423523,-86.47952803,PRIVATE DRIVE,,,,URBAN,N,N,N,,DARK (LIGHTED),CLOUDY,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,UNDER $1001,BACKING CRASH,E3RDST,0,
MONROE SD,M22A21605,MONROE,BLOOMINGTON,BLOOMINGTON,9/2/22,3:14 PM,1,,1,0,0,,E ROBINSON RD,,,,,E ROBINSON RD,N MILLER RD,,,,N,,3700,,39.24751226,-86.48133337,LOCAL/CITY ROAD,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,DRIVER ASLEEP OR FATIGUED,$5001 TO $10000,RAN OFF ROAD,NMILLERRDEROBINSONRD,0,
BLOOMINGTON PD,B22-32496,MONROE,BLOOMINGTON,BLOOMINGTON,8/19/22,2:00 PM,2,,0,0,0,528,N WASHINGTON ST,,,,,N WASHINGTON ST,,,,,Y,,0,,39.17149208,-86.53229911,PRIVATE DRIVE,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,BACKING CRASH,NWASHINGTONST,0,
MONROE SD,M22A29674,MONROE,WASHINGTON,BLOOMINGTON,12/4/22,3:00 AM,1,,0,0,0,,I-69,,,,,I-69,,,129,,N,,0,,39.31082761,-86.51344919,INTERSTATE,,,,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE SPEED,$25001 TO $50000,RAN OFF ROAD,I-69129,0,
BLOOMINGTON PD,B22-52305,MONROE,PERRY,BLOOMINGTON,12/16/22,7:34 PM,2,,0,0,0,,W SUNSTONE DR,,,,,W SUNSTONE DR,S DELILA STAR DR,,,,Y,,0,,39.13920271,-86.55717371,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DARK (NOT LIGHTED),CLOUDY,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,UNSAFE BACKING,$2501 TO $5000,BACKING CRASH,WSUNSTONEDRSDELILASTARDR,0,
BLOOMINGTON PD,B22-47556,MONROE,PERRY,BLOOMINGTON,11/14/22,3:40 AM,1,,0,0,0,,S OLIVE ST,,,,,S OLIVE ST,E HILLSIDE DR,,,,Y,,0,,39.15018904,-86.51880688,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,T-INTERSECTION,,ASPHALT,IMPROPER TURNING,$1001 TO $2500,LEFT TURN,SOLIVESTEHILLSIDEDR,0,
BLOOMINGTON PD,B22-44867,MONROE,BLOOMINGTON,BLOOMINGTON,10/27/22,6:30 PM,2,,0,0,0,,E 3RD ST,,,,,E 3RD ST,S ROOSEVELT ST,,,,Y,,0,,39.16430596,-86.50614171,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAWN/DUSK,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FOLLOWING TOO CLOSELY,$2501 TO $5000,REAR END,SROOSEVELTSTE3RDST,0,
BLOOMINGTON PD,B22-47309,MONROE,BLOOMINGTON,BLOOMINGTON,11/11/22,10:30 PM,2,,0,0,0,,N WASHINGTON ST,,,,,N WASHINGTON ST,E 17TH ST,,,,Y,,158,,39.17869002,-86.53224522,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,$1001 TO $2500,BACKING CRASH,NWASHINGTONSTE17THST,0,
BLOOMINGTON PD,B22-49409,MONROE,BLOOMINGTON,BLOOMINGTON,11/28/22,4:22 PM,3,,0,0,0,,W 17TH ST,,,,,W 17TH ST,N KINSER PIKE,,,,Y,,317,,39.17901798,-86.53839979,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAWN/DUSK,CLOUDY,WET,,NO JUNCTION INVOLVED,,ASPHALT,FOLLOWING TOO CLOSELY,$5001 TO $10000,REAR END,W17THSTNKINSERPIKE,0,
BLOOMINGTON PD,B23-04320,MONROE,BLOOMINGTON,BLOOMINGTON,12/30/22,10:00 AM,2,,0,0,0,1825,N KINSER PIKE; KROGER,,,,,N KINSER PIKE; KROGER,,,,,Y,,0,,39.18770338,-86.53962328,PRIVATE DRIVE,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,OTHER - EXPLAIN IN NARRATIVE,NKINSERPIKE;KROGER,0,
BLOOMINGTON PD,B22-49656,MONROE,PERRY,BLOOMINGTON,11/30/22,8:53 AM,2,,0,0,0,,S ROGERS ST,,,,,S ROGERS ST,W 2ND ST,,,,Y,,0,,39.16138482,-86.53868484,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$2501 TO $5000,REAR END,W2NDSTSROGERSST,0,
BLOOMINGTON PD,B22-53026,MONROE,PERRY,BLOOMINGTON,12/21/22,5:18 PM,2,,0,0,0,,E MOORES PIKE,,,,,E MOORES PIKE,S HIGH ST,,,,Y,,0,,39.1504403,-86.50837719,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAWN/DUSK,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$2501 TO $5000,REAR END,SHIGHSTEMOORESPIKE,0,
MONROE SD,M22A29860,MONROE,BEAN BLOSSOM,BLOOMINGTON,12/6/22,7:46 AM,2,,0,0,0,,W STATE RD 46,,,,,W STATE RD 46,N COUNTY LINE RD,,,,N,,0,,39.28147813,-86.68475543,LOCAL/CITY ROAD,,,,RURAL,N,N,N,,DAWN/DUSK,FOG/SMOKE/SMOG,WET,,T-INTERSECTION,,ASPHALT,ROADWAY SURFACE CONDITION,$5001 TO $10000,REAR END,WSTATERD46NCOUNTYLINERD,0,
MONROE SD,M22A31168,MONROE,CLEAR CREEK,BLOOMINGTON,12/24/22,8:32 AM,1,,1,0,0,,S SOCIETY LN,,,,,S SOCIETY LN,E SMITHVILLE RD,,,,N,,0,,39.07096638,-86.51788362,COUNTY ROAD,,,,RURAL,N,N,N,,DAYLIGHT,SNOW,ICE,,NO JUNCTION INVOLVED,,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,$5001 TO $10000,RAN OFF ROAD,SSOCIETYLNESMITHVILLERD,0,
BLOOMINGTON PD,B22-46430,MONROE,,BLOOMINGTON,11/5/22,10:05 PM,2,,0,0,0,,3160 S WALNUT ST,,,,,3160 S WALNUT ST,,,,,Y,,0,,0,0,PRIVATE DRIVE,,,,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,$1001 TO $2500,BACKING CRASH,3160SWALNUTST,0,
BLOOMINGTON PD,B22-51005,MONROE,BLOOMINGTON,BLOOMINGTON,12/8/22,4:27 PM,2,,0,0,0,,N INDIANA AVE,,,,,N INDIANA AVE,E 14TH ST,,,,Y,,0,,39.17612115,-86.52702711,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,T-INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$25001 TO $50000,RIGHT ANGLE,NINDIANAAVEE14THST,0,
BLOOMINGTON PD,B22-50035,MONROE,BLOOMINGTON,BLOOMINGTON,12/2/22,11:44 AM,2,,0,0,0,1330,N ARLINGTON PK DR,,,,,N ARLINGTON PK DR,,,,,Y,,0,,39.18010603,-86.55253526,PRIVATE DRIVE,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,$5001 TO $10000,BACKING CRASH,NARLINGTONPKDR,0,
INDIANA UNIV BLOOMINGTON PD,224947,MONROE,BLOOMINGTON,BLOOMINGTON,12/16/22,12:03 PM,2,,0,0,0,,E 3RD ST,,,,,E 3RD ST,S JORDAN AVE,,,,Y,,0,,39.16426927,-86.5164852,LOCAL/CITY ROAD,,,,RURAL,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,,ASPHALT,IMPROPER PASSING,$1001 TO $2500,SAME DIRECTION SIDESWIPE,SJORDANAVEE3RDST,0,
BLOOMINGTON PD,B22-43867,MONROE,VAN BUREN,BLOOMINGTON,10/22/22,9:39 AM,2,,0,0,0,,W STATE RD 45,,,,,W STATE RD 45,INDUSTRIAL BLVD,,,,Y,,0,,39.14359311,-86.58034249,STATE ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$5001 TO $10000,LEFT TURN,WSTATERD45INDUSTRIALBLVD,0,
BLOOMINGTON PD,B22-48499,MONROE,PERRY,BLOOMINGTON,11/21/22,1:43 PM,2,,0,0,0,,E. 3RD ST,,,,,E. 3RD ST,S. COLLEGE MALL RD,,,,Y,,0,,39.1641839,-86.4982356,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,SAME DIRECTION SIDESWIPE,S.COLLEGEMALLRDE.3RDST,0,
ELLETTSVILLE PD,E22-05167,MONROE,RICHLAND,ELLETTSVILLE,12/8/22,8:20 PM,2,,0,0,0,,N UNION VALLEY RD,,,,,N UNION VALLEY RD,N UNION VALLEY RD,,,,Y,,0,,39.21550961,-86.5927003,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DARK (NOT LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,,CONCRETE,IMPROPER TURNING,$2501 TO $5000,LEFT TURN,NUNIONVALLEYRDNUNIONVALLEYRD,0,
INDIANA UNIV BLOOMINGTON PD,224195,MONROE,BLOOMINGTON,BLOOMINGTON,10/29/22,1:35 PM,2,,2,0,0,,N FEE LN,,,,,N FEE LN,,,600,,Y,,600,,39.18162107,-86.51915736,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FOLLOWING TOO CLOSELY,$5001 TO $10000,REAR END,NFEELN,0,
ISP BLOOMINGTON 33,2.02201E+11,MONROE,WASHINGTON,BLOOMINGTON,11/27/22,5:01 PM,1,,1,0,0,,,,37,,,37,,,106,,N,,0,,39.25390019,-86.52765889,INTERSTATE,,,,RURAL,N,N,N,,DAWN/DUSK,CLEAR,WET,,NO JUNCTION INVOLVED,,CONCRETE,FAILURE TO MAINTAIN LANE,OVER $100000,RAN OFF ROAD,37106,0,
BLOOMINGTON PD,B22-42141,MONROE,BLOOMINGTON,BLOOMINGTON,9/30/22,9:00 AM,1,,1,0,0,,N WALNUT ST,,,,,N WALNUT ST,E 6TH ST,,,,Y,,317,,39.16804764,-86.53360481,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,UNDER $1001,BACKING CRASH,NWALNUTSTE6THST,1,
INDIANA UNIV BLOOMINGTON PD,224190,MONROE,BLOOMINGTON,BLOOMINGTON,10/29/22,6:39 AM,1,,0,0,0,,STATE RD 45,,,,,STATE RD 45,E 17TH ST,,,,Y,,0,,39.17935897,-86.5068943,STATE ROAD,,,,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,T-INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$2501 TO $5000,RAN OFF ROAD,STATERD45E17THST,0,
BLOOMINGTON PD,B22-44948,MONROE,PERRY,BLOOMINGTON,10/28/22,8:56 AM,2,,0,0,0,,E 1ST ST,,,,,E 1ST ST,S HAWTHORNE DR,,,,Y,,200,,39.15930714,-86.52074647,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$2501 TO $5000,LEFT TURN,SHAWTHORNEDRE1STST,0,
ELLETTSVILLE PD,E22-04749,MONROE,RICHLAND,ELLETTSVILLE,11/15/22,5:15 PM,2,,0,0,0,,W RATLIFF RD,,,,,W RATLIFF RD,S DEER RUN,,,,Y,,0,,39.2107938,-86.61944515,COUNTY ROAD,,,,URBAN,N,N,N,,DAWN/DUSK,RAIN,WET,,T-INTERSECTION,,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,$5001 TO $10000,RIGHT TURN,WRATLIFFRDSDEERRUN,0,
BLOOMINGTON PD,B22-45698,MONROE,BLOOMINGTON,BLOOMINGTON,11/1/22,3:39 PM,2,,0,0,0,,N COLLEGE AVE,,,,,N COLLEGE AVE,W 8TH ST,,,,Y,,53,,39.1696139,-86.53478927,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,IMPROPER TURNING,$5001 TO $10000,SAME DIRECTION SIDESWIPE,W8THSTNCOLLEGEAVE,0,
