Agency,Local Code,County,Township,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Name,Roadway Suffix,Roadway Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Intersecting Road Number,Mile Marker,Interchange,Corporate Limits?,Property Type,Feet From,Direction,Latitude,Longitude,Roadway Class,Traffic Control Devices?,Aggressive Driving?,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Damage Estimate,Manner of Collision,Unique Location Id,State Property Damage?,Traffic Control
BLOOMINGTON PD,B22-29218,MONROE,PERRY,BLOOMINGTON,7/30/22,12:40 PM,2,,0,0,0,2475,S WALNUT STREET PIKE,,,,,S WALNUT STREET PIKE,,,,,Y,,0,,39.13460323,-86.52688442,PRIVATE DRIVE,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,$5001 TO $10000,BACKING CRASH,SWALNUTSTREETPIKE,0,
ISP BLOOMINGTON 33,2022-00275293,MONROE,BLOOMINGTON,BLOOMINGTON,6/11/22,9:00 AM,2,,0,0,0,,N PACKING HOUSE RD,,,,,N PACKING HOUSE RD,,,,,Y,,0,,39.18077449,-86.56051203,PRIVATE DRIVE,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,$2501 TO $5000,BACKING CRASH,NPACKINGHOUSERD,0,
MONROE SD,M22A8786,MONROE,CLEAR CREEK,BLOOMINGTON,4/19/22,1:50 PM,2,,0,0,0,,LEIGHTON LN,,,,,LEIGHTON LN,MCDOUGAL ST,,,,N,,0,,39.123384,-86.553477,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,,ASPHALT,OTHER (VEHICLE) - EXPLAIN IN NARRATIVE,$5001 TO $10000,BACKING CRASH,MCDOUGALSTLEIGHTONLN,0,
INDIANA UNIV BLOOMINGTON PD,220631,MONROE,BLOOMINGTON,BLOOMINGTON,2/17/22,9:30 PM,2,,0,0,0,,10TH STREET,,,,,10TH STREET,SR45/46,,,,Y,,0,,39.17163079,-86.50211441,STATE ROAD,,,,URBAN,N,N,N,,DARK (NOT LIGHTED),SNOW,SNOW/SLUSH,,FOUR-WAY INTERSECTION,,ASPHALT,DISREGARD SIGNAL/REG SIGN,$25001 TO $50000,LEFT TURN,SR45/4610THSTREET,0,
MONROE SD,M22A18041,MONROE,RICHLAND,BLOOMINGTON,7/26/22,7:00 AM,2,,0,0,0,,N UNION VALLEY RD,,,,,N UNION VALLEY RD,N UNION VALLEY RD,,,,N,,0,,39.21518183,-86.59271633,STATE ROAD,,,,URBAN,N,N,N,,UNKNOWN,RAIN,WET,,FIVE POINT OR MORE,,ASPHALT,OTHER (VEHICLE) - EXPLAIN IN NARRATIVE,$2501 TO $5000,REAR END,NUNIONVALLEYRDNUNIONVALLEYRD,0,
BLOOMINGTON PD,B22-31247,MONROE,BLOOMINGTON,BLOOMINGTON,8/12/22,11:26 AM,2,,0,0,0,,W 4TH ST,,,,,W 4TH ST,S COLLEGE AVE,,1,,Y,,100,,39.16560296,-86.53429621,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$2501 TO $5000,BACKING CRASH,W4THSTSCOLLEGEAVE,0,
BLOOMINGTON PD,B22-07588,MONROE,BLOOMINGTON,BLOOMINGTON,3/7/22,11:12 AM,2,,0,0,0,,N. ADAMS ST,,,,,N. ADAMS ST,W. FOUNTAIN DR,,,,Y,,50,,39.169759,-86.549643,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,T-INTERSECTION,,ASPHALT,UNSAFE BACKING,$5001 TO $10000,BACKING CRASH,W.FOUNTAINDRN.ADAMSST,0,
MONROE SD,M22A23684,MONROE,PERRY,BLOOMINGTON,9/26/22,12:33 PM,2,,0,0,0,4025,SOUTH OLD ST RD 37,,,,,SOUTH OLD ST RD 37,,,,,N,,0,,39.120322,-86.529233,PRIVATE DRIVE,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,UNDER $1001,REAR TO REAR,SOUTHOLDSTRD37,0,
BLOOMINGTON PD,B22-18738,MONROE,BLOOMINGTON,BLOOMINGTON,5/21/22,7:15 PM,2,,3,0,0,,E ATWATER AVE,,,,,E ATWATER AVE,S JORDAN AVE,,,,Y,,0,,39.16310419,-86.51628739,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,,ASPHALT,DISREGARD SIGNAL/REG SIGN,$10001 TO $25000,RIGHT ANGLE,SJORDANAVEEATWATERAVE,0,
BLOOMINGTON PD,B22-42777,MONROE,BLOOMINGTON,BLOOMINGTON,10/16/22,11:17 AM,2,,0,0,0,,N WALNUT ST,,,,,N WALNUT ST,E 7TH ST,,,,Y,,0,,39.1685492,-86.53358406,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,DISREGARD SIGNAL/REG SIGN,$2501 TO $5000,RIGHT ANGLE,NWALNUTSTE7THST,0,
MONROE SD,M22A4035,MONROE,SALT CREEK,BLOOMINGTON,2/20/22,3:08 AM,1,,0,0,0,,STATE RD 46,,,,,STATE RD 46,E KENT RD,,,,N,,0,,39.15161363,-86.40234321,STATE ROAD,,,,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$10001 TO $25000,RAN OFF ROAD,STATERD46EKENTRD,0,
BLOOMINGTON PD,B22-32466,MONROE,PERRY,BLOOMINGTON,8/19/22,12:17 PM,3,,0,0,0,550,S ADAMS ST,,,,,S ADAMS ST,,,,,Y,,0,,39.16191549,-86.55130927,PRIVATE DRIVE,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,$5001 TO $10000,SAME DIRECTION SIDESWIPE,SADAMSST,0,
MONROE SD,M22A9995,MONROE,VAN BUREN,BLOOMINGTON,5/2/22,4:14 PM,1,,0,0,0,,E BETHEL LN,,,,,E BETHEL LN,,,,,Y,,0,,39.21283401,-86.49065084,COUNTY ROAD,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE SPEED,$5001 TO $10000,RAN OFF ROAD,EBETHELLN,0,
INDIANA UNIV BLOOMINGTON PD,223083,MONROE,BLOOMINGTON,BLOOMINGTON,9/3/22,8:00 PM,2,,0,0,0,,STATE RD 45,,,,,STATE RD 45,N DUNN ST,,,,Y,,475,,39.18629651,-86.52734078,STATE ROAD,,,,URBAN,N,N,N,,DAWN/DUSK,RAIN,WET,,NO JUNCTION INVOLVED,,ASPHALT,FOLLOWING TOO CLOSELY,$1001 TO $2500,REAR END,STATERD45NDUNNST,0,
BLOOMINGTON PD,B22-08172,MONROE,VAN BUREN,BLOOMINGTON,3/11/22,4:25 PM,2,,0,0,0,,S LIBERTY DR,,,,,S LIBERTY DR,W 3RD ST,,,,Y,,2200,,39.16275089,-86.57916332,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,T-INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$5001 TO $10000,REAR END,W3RDSTSLIBERTYDR,0,
BLOOMINGTON PD,B22-42314,MONROE,BLOOMINGTON,BLOOMINGTON,10/13/22,10:30 AM,1,,0,0,0,,S ADAMS ST,,,,,S ADAMS ST,S ADAMS ST,,,,Y,,0,,39.15655921,-86.55058212,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,WET,,NO JUNCTION INVOLVED,,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,$5001 TO $10000,RAN OFF ROAD,SADAMSSTSADAMSST,0,
BLOOMINGTON PD,B22-32996,MONROE,BLOOMINGTON,BLOOMINGTON,8/22/22,12:46 PM,2,,0,0,0,,N COLLEGE AVE,,,,,N COLLEGE AVE,W 6TH ST,,,,Y,,317,,39.16805321,-86.53489924,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,$2501 TO $5000,BACKING CRASH,W6THSTNCOLLEGEAVE,0,
