Agency,City,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control,DateTime,Address Number,Cyclist Involved,Pedestrian Involved
BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0.0,0,421.0,,,E 3RD ST,S KIRBY ALLEY,,,,39.16464,-86.52897556,UNKNOWN,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/HILLCREST,ASPHALT,OTHER (VEHICLE) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,E 3RDST,NONE,2020-10-14 19:13:00,,,
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0,,,,S WALNUT ST,E 1ST,,,,39.159344,-86.5336,LOCAL/CITY RD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,E1STSTSWALNUTST,TRAFFIC CONTROL SIGNAL,2020-10-14 22:00:00,,,
MONROE SD,BLOOMINGTON,2,0.0,0.0,1.0,0,4210.0,,,S ORCHARD LN,,,,,39.1190785,-86.5327343,LOCAL/CITY RD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,OTHER (VEHICLE) - EXPLAIN IN NARRATIVE,RAN OFF RD,SOUTHORCHARDLN,NONE,2020-10-15 01:48:00,,,
MONROE SD,BLOOMINGTON,1,0.0,0.0,0.0,0,381.0,,,W SAMPLE RD,N CANYON CT,,,,39.2658313,-86.527042,LOCAL/CITY RD,N,RURAL,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,RAN OFF RD RIGHT,RAN OFF RD,WSAMPLERD,NONE,2020-10-15 10:34:00,,,
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0,,,,ST RD 45/46,E 10TH ST,,,,0.0,0.0,ST RD,Y,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,ST RD 45ST RD 46,TRAFFIC CONTROL SIGNAL,2020-10-15 11:08:00,,,
BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0.0,0,,,,S COLLEGE MALL RD,ENTRANCE TO EASTLAND PLAZA,,100.0,S,39.15199711,-86.498806,LOCAL/CITY RD,Y,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,ENTRANCETO418SCOLLEGEMALLRDSCOLLEGEMALLRD,TRAFFIC CONTROL SIGNAL,2020-10-15 11:25:00,,,
BLOOMINGTON PD,BLOOMINGTON,1,0.0,1.0,0.0,0,,,,W COUNTRY CLUB DR,S BANTA AVE,,100.0,W,39.136304,-86.544592,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,RAN OFF RD,SBANTAAVEWCOUNTRYCLUBDR,LN CONTROL,2020-10-15 11:45:00,,,
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,3,0.0,3.0,0.0,0,,,,E 10TH ST,ST RD 45/46,,50.0,S,,,ST RD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,ST RD 4546BYPST RD 46S,NONE,2020-10-15 12:25:00,,,
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,3,1.0,0.0,0.0,0,,,,ST RD 45/46,E 10TH ST,,,,39.171648,-86.502096,ST RD,Y,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,REAR TO REAR,10THSTST RD 46E,TRAFFIC CONTROL SIGNAL,2020-10-15 13:19:00,,,
MONROE SD,BLOOMINGTON,1,0.0,0.0,0.0,0,,,,S FAIRFAX RD,E MARIE LN,,,,0.0,0.0,LOCAL/CITY RD,N,RURAL,N,N,N,,DAYLIGHT,RAIN,WET,,T-INTERSECTION,CURVE/GRADE,ASPHALT,RAN OFF RD RIGHT,RAN OFF RD,EMARIELNSFAIRFAXRD,NONE,2020-10-15 14:36:00,,,
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0,,,,N WALNUT GROVE ST,E 17TH ST,,,,39.179039,-86.521096,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,EAST17THSTWALNUTGROVEST,NONE,2020-10-15 15:00:00,,,
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0,,,,ST RD 45/46,N WALNUT ST,,400.0,E,39.186368,-86.5344,ST RD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,NWALNUTSTST RD 4546 W,NONE,2020-10-15 15:45:00,,,
MONROE SD,BLOOMINGTON,2,0.0,0.0,0.0,0,,,,ST RD 48,S GARRISON CHAPEL RD,,2640.0,E,39.16381764,-86.64042927,ST RD,N,RURAL,N,N,N,,DAYLIGHT,CLOUDY,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,CONCRETE,SPEED TOO FAST FOR WEATHER CONDITIONS,REAR END,SGARRISONCHAPELRDST RD 48W,NONE,2020-10-15 16:21:00,,,
MONROE SD,BLOOMINGTON,2,0.0,0.0,0.0,0,,,,ST RD 45,E MARTIN DR,,100.0,W,39.20459324,-86.46353123,ST RD,N,RURAL,N,N,N,,DAYLIGHT,CLOUDY,WET,,T-INTERSECTION,CURVE/LEVEL,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,RIGHT ANGLE,EMARTINDRST RD 45E,NONE,2020-10-15 16:50:00,,,
