_id,Agency,City,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control,DateTime,Address Number,Cyclist Involved,Pedestrian Involved
782,ELLETTSVILLE PD,ELLETTSVILLE,1,0.0,0.0,0,1,,,,W MCNEELY ST,N ABIGAIL LN,,,,39.11339,-86.52654,LOCAL/CITY RD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,T-INTERSECTION,CURVE/HILLCREST,ASPHALT,ANIMAL/OBJECT IN RDWAY,COLLISION WITH DEER,ABIGAILLNMCNEELYST,NONE,2021-10-15 21:30:00,,,
783,ELLETTSVILLE PD,ELLETTSVILLE,3,0.0,1.0,0,0,,,,ST RD 46,W FORREST PARK DR,,,,39.2375,-86.59278,ST RD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),RAIN,WET,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,FORRESTPARDRST RD 46 W,LN CONTROL,2021-10-15 21:53:00,,,
784,BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0,0,703,,,E COLONIAL CREST RD,,,,,39.167536795945765,-86.53362009827848,UNKNOWN,Y,URBAN,N,N,N,,UNKNOWN,CLEAR,DRY,,NO JUNCTION INVOLVED,NON-RDWAY CRASH,ASPHALT,UNSAFE BACKING,RAN OFF RD,WGOURLEYPK,NONE,2021-10-14 09:36:00,,,
785,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,W 17TH ST,N MADISON ST,,,,39.18662,-86.60201,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,NMADISONSTW17THST,TRAFFIC CONTROL SIGNAL,2021-10-14 09:55:00,,,
786,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,ST RD 45/46,E 10TH ST,,,,39.169442082890235,-86.53105234933828,ST RD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,CELL PHONE USAGE,REAR END,ST RD 46UNIONVILLERD,TRAFFIC CONTROL SIGNAL,2021-10-14 10:30:00,,,
787,MONROE SD,BLOOMINGTON,2,0.0,1.0,0,0,,,,W 4TH ST,S WALNUT ST,,,,39.18622119844804,-86.53453934450148,,Y,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,SWALNUTSTWFOURTHST,TRAFFIC CONTROL SIGNAL,2021-10-14 11:35:00,,,
788,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,N WALNUT ST,E 6TH ST,,,,39.15049280704895,-86.5325545339243,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,UNSAFE LN MOVEMENT,SAME DIRECTION SIDESWIPE,E6THSTNWALNUTST,TRAFFIC CONTROL SIGNAL,2021-10-14 11:46:00,,,
789,BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0,0,1020,,,S WOODLAWN AVE,ENTRANCE TO BRYAN PARK ,,,,39.04733284,-86.53605571,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,RAN OFF RD RIGHT,RAN OFF RD,SWOODLAWNAVE,LN CONTROL,2021-10-14 12:07:00,,,
790,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0,0,,,,E LAW LN,N FEE LN,,,,39.16529147790716,-86.55042217238847,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/HILLCREST,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,ELAWLNFEELN,NONE,2021-10-14 13:05:00,,True,
791,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,E BURKS DR,S WALNUT ST PK,,,,39.17922132611234,-86.5471536913556,LOCAL/CITY RD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/HILLCREST,ASPHALT,IMPROPER LN USAGE,RIGHT TURN,EBURKSDRSWALNUTSTPK,STOP SIGN,2021-10-14 13:56:00,,,
