_id,Agency,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control
1654,MONROE SD,BLOOMINGTON,2022-06-30T00:00:00,3:36 PM,2,,0,0,0,"","","",N OARD RD,W VERNAL PIKE,"",800,"",39.17777463,-86.63126728,LOCAL/CITY ROAD,"",RURAL,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,WVERNALPIKENOARDRD,""
1655,MONROE SD,BLOOMINGTON,2022-07-29T00:00:00,9:29 AM,2,,0,0,0,"","","",E BETHEL LN,N STIDD RD,"",0,"",,,LOCAL/CITY ROAD,"",RURAL,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",T-INTERSECTION,"",ASPHALT,LEFT OF CENTER,OPPOSITE DIRECTION SIDESWIPE,NSTIDDRDEBETHELLN,""
1656,BLOOMINGTON PD,BLOOMINGTON,2022-06-06T00:00:00,1:50 PM,2,,0,0,0,"","","",W BLOOMFIELD RD,S ANNA LEE LN,"",0,"",39.15805253,-86.55747333,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLOUDY,DRY,"",T-INTERSECTION,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,WBLOOMFIELDRDSANNALEELN,""
1657,BLOOMINGTON PD,BLOOMINGTON,2022-08-25T00:00:00,8:59 PM,2,,1,0,0,"","","",E 3RD ST,S PETE ELLIS DR,"",0,"",39.16423183,-86.49508886,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DARK (NOT LIGHTED),CLEAR,DRY,"",T-INTERSECTION,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,REAR END,SPETEELLISDRE3RDST,""
1658,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-08-28T00:00:00,2:40 PM,2,,0,0,0,1600,"","",E 10TH ST,"","",0,"",39.17188044,-86.51281712,PRIVATE DRIVE,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,IMPROPER TURNING,SAME DIRECTION SIDESWIPE,E10THST,""
1659,BLOOMINGTON PD,BLOOMINGTON,2022-06-10T00:00:00,6:05 PM,3,,0,0,0,"","","",STATE ROAD 45/46 BYPASS,N WALNUT ST,"",528,"",39.18636266,-86.53332658,STATE ROAD,"",URBAN,N,N,N,"",DAYLIGHT,RAIN,WET,"",NO JUNCTION INVOLVED,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,STATEROAD45/46BYPASSNWALNUTST,""
1660,BLOOMINGTON PD,BLOOMINGTON,2022-06-10T00:00:00,1:20 PM,3,,1,0,0,"","","",S COLLEGE MALL RD,E 3RD ST,"",0,"",39.16395451,-86.49818938,LOCAL/CITY ROAD,"",URBAN,N,N,Y,LANE CLOSURE,DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,REAR END,SCOLLEGEMALLRDE3RDST,""
1661,BLOOMINGTON PD,BLOOMINGTON,2022-07-17T00:00:00,11:50 AM,2,,0,0,0,"","","",S LEONARD SPRINGS RD,W TAPP RD,"",0,"",39.13703366,-86.58260054,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,RAIN,WET,"",T-INTERSECTION,"",ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,REAR END,WTAPPRDSLEONARDSPRINGSRD,""
1662,MONROE SD,BLOOMINGTON,2022-06-09T00:00:00,2:06 PM,2,,0,0,0,"","","",EARL YOUNG RD,E EVERETT ARNOLD DR,"",0,"",39.22429984,-86.4544529,LOCAL/CITY ROAD,"",RURAL,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",T-INTERSECTION,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT/RIGHT TURN,EARLYOUNGRDEEVERETTARNOLDDR,""
1663,BLOOMINGTON PD,BLOOMINGTON,2022-07-19T00:00:00,10:19 AM,2,,0,0,0,"","","",E SARATOGA DR,S PARK RIDGE RD,"",370,"",39.16620514,-86.47631715,LOCAL/CITY ROAD,"",URBAN,N,N,Y,INTERMITTENT OR MOVING WORK,DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,UNSAFE BACKING,BACKING CRASH,SPARKRIDGERDESARATOGADR,""
1664,MONROE SD,BLOOMINGTON,2022-06-25T00:00:00,6:15 PM,2,,0,0,0,"","","",RHORER ROAD,HARRELL ROAD,"",0,"",39.121534,-86.498784,LOCAL/CITY ROAD,"",RURAL,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",T-INTERSECTION,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,RHORERROADHARRELLROAD,""
1665,BLOOMINGTON PD,BLOOMINGTON,2022-09-21T00:00:00,9:03 AM,2,,0,0,0,"","","",N ROGERS ST,W 6TH ST,"",264,"",39.16804312,-86.5387167,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,SAME DIRECTION SIDESWIPE,W6THSTNROGERSST,""
1666,ELLETTSVILLE PD,ELLETTSVILLE,2022-08-01T00:00:00,12:46 PM,2,,0,0,0,"","","",W MAIN ST,N MATHEWS DR,"",0,"",39.23600781,-86.62504417,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",T-INTERSECTION,"",ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,WMAINSTNMATHEWSDR,""
1667,BLOOMINGTON PD,BLOOMINGTON,2022-09-09T00:00:00,5:56 PM,2,,0,0,0,"","","",W KIRKWOOD AVE,S MADISON ST,"",317,"",39.16658942,-86.5367737,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,VIEW OBSTRUCTED,RIGHT ANGLE,WKIRKWOODAVESMADISONST,""
1668,MONROE SD,BLOOMINGTON,2022-08-28T00:00:00,6:25 PM,2,,0,0,0,"","","",S HARMONY ROAD,KOONTZ ROAD,"",500,"",39.079143,-86.630418,LOCAL/CITY ROAD,"",RURAL,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,LEFT OF CENTER,OPPOSITE DIRECTION SIDESWIPE,SHARMONYROADKOONTZROAD,""
1669,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-09-09T00:00:00,8:15 PM,1,,1,0,0,"","","",E 10TH ST,"","",0,"",39.17163421,-86.51096932,PRIVATE DRIVE,"",URBAN,N,N,N,"",DARK (NOT LIGHTED),CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,E10THST,""
1670,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-08-03T00:00:00,9:27 PM,2,,0,0,0,"","","",E 10TH ST,E 10TH ST,"",0,"",39.17177997,-86.50241166,"","",URBAN,N,N,N,"",DARK (NOT LIGHTED),CLOUDY,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,E10THSTE10THST,""
1671,BLOOMINGTON PD,BLOOMINGTON,2022-09-03T00:00:00,8:00 AM,1,,0,0,1,"","","",E MOORES PIKE,E CAPE COD CT,"",0,"",39.15048716,-86.50681656,"","",URBAN,N,N,N,"",DAWN/DUSK,RAIN,WET,"",NO JUNCTION INVOLVED,"",ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,EMOORESPIKEECAPECODCT,""
1672,BLOOMINGTON PD,BLOOMINGTON,2022-06-19T00:00:00,10:36 AM,2,,0,0,0,"","","",E 17TH ST,N WALNUT ST,"",0,"",39.17898471,-86.53349108,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,NWALNUTSTE17THST,""
1673,ISP INDIANAPOLIS 52,BLOOMINGTON,2022-08-22T00:00:00,7:46 AM,2,,1,0,0,"","","",INTERSTATE 69,"","",475,"",39.08520415,-86.57424498,INTERSTATE,"",RURAL,N,N,N,"",DAYLIGHT,CLOUDY,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,REAR END,INTERSTATE69112,""
1674,BLOOMINGTON PD,BLOOMINGTON,2022-09-28T00:00:00,4:45 PM,3,,1,0,0,"","","",S SMITH RD,E HAGAN ST,"",0,"",39.1628829,-86.4807261,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",T-INTERSECTION,"",ASPHALT,FAILURE TO MAINTAIN LANE,OTHER - EXPLAIN IN NARRATIVE,SSMITHRDEHAGANST,""
1675,BLOOMINGTON PD,BLOOMINGTON,2022-08-20T00:00:00,4:39 PM,2,,0,0,0,"","","",E COVENANTER DR,S COLLEGE MALL RD,"",0,"",39.1551806,-86.49771029,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,SCOLLEGEMALLRDECOVENANTERDR,""
1676,ELLETTSVILLE PD,ELLETTSVILLE,2022-07-17T00:00:00,5:52 PM,2,0,0,0,0,"","","",W MCNEELY,N UNION VALLEY,"",,"",,,COUNTY ROAD,N,RURAL,N,N,N,"",DAYLIGHT,RAIN,WET,"",T-INTERSECTION,STRAIGHT/HILLCREST,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,RIGHT ANGLE,NUNIONVALLEYRDWMCNEELYST,STOP SIGN
1677,ELLETTSVILLE PD,ELLETTSVILLE,2022-06-20T00:00:00,1:17 PM,1,0,1,0,0,"","","",GILMORE,REEVES,"",2000,N,39.231648,-86.671296,LOCAL/CITY ROAD,N,RURAL,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,UNSAFE SPEED,RAN OFF ROAD,GILMORERDREEVESRD,NONE
1678,ELLETTSVILLE PD,ELLETTSVILLE,2022-09-22T00:00:00,11:06 AM,2,0,0,0,0,"","","",SR46W,SALE,"",100,E,39.23365777,-86.62443977,STATE ROAD,N,URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,SAME DIRECTION SIDESWIPE,SALESTSR46W,NONE
1679,BLOOMINGTON PD,BLOOMINGTON,2022-08-15T00:00:00,2:45 AM,2,0,0,0,0,"","","",WALNUT,8TH,"",40,S,39.16944215,-86.53355393,LOCAL/CITY ROAD,N,URBAN,N,N,N,"",DARK (LIGHTED),CLEAR,DRY,"",NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,UNSAFE LANE MOVEMENT,REAR END,8THSTWALNUTST,LANE CONTROL
1680,BLOOMINGTON PD,BLOOMINGTON,2022-06-09T00:00:00,4:12 PM,2,,0,0,0,"","","",W 3RD ST,I69 NB EXIT 118 OFF-RAMP,"",0,"",39.16465421,-86.57384224,STATE ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLOUDY,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,W3RDSTI69NBEXIT118OFF-RAMP,""
1681,BLOOMINGTON PD,BLOOMINGTON,2022-08-27T00:00:00,4:39 AM,2,,1,0,0,"","","",S WALNUT ST,E 1ST ST,"",0,"",39.1593517,-86.53365559,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SWALNUTSTE1STST,""
1682,BLOOMINGTON PD,BLOOMINGTON,2022-07-26T00:00:00,2:44 PM,2,,0,0,0,671,"","",S LANDMARK AVE,"","",0,"",39.15865411,-86.55373014,PRIVATE DRIVE,"",URBAN,N,N,N,"",DAYLIGHT,CLOUDY,DRY,"",NO JUNCTION INVOLVED,"",CONCRETE,UNSAFE BACKING,BACKING CRASH,SLANDMARKAVE,""
1683,BLOOMINGTON PD,BLOOMINGTON,2022-07-26T00:00:00,12:55 PM,2,,0,0,0,"","","",W 3RD ST,W LIBERTY DR,"",500,"",39.16460794,-86.57784055,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLOUDY,WET,"",T-INTERSECTION,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,WLIBERTYDRW3RDST,""
1684,DNR LAW ENFORCEMENT,BLOOMINGTON,2022-08-12T00:00:00,11:25 AM,2,,0,0,0,"","","",STATE RD 446,"","",0,"",39.09153267,-86.42295873,PRIVATE DRIVE,"",RURAL,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,UNSAFE BACKING,BACKING CRASH,STATERD446,""
1685,BLOOMINGTON PD,BLOOMINGTON,2022-06-10T00:00:00,2:50 PM,2,,0,0,0,"","","",W 3RD ST,S WESTPLEX AVE,"",370,"",39.16440395,-86.55303187,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,RAIN,WET,"",NO JUNCTION INVOLVED,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,W3RDSTSWESTPLEXAVE,""
1686,BLOOMINGTON PD,BLOOMINGTON,2022-06-03T00:00:00,3:41 PM,2,,0,0,0,"","","",S WASHINGTON ST,E DODDS ST,"",0,"",39.15737173,-86.5324182,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT TURN,SWASHINGTONSTEDODDSST,""
1687,MONROE SD,BLOOMINGTON,2022-09-18T00:00:00,9:41 PM,1,,0,0,0,"","","",STATE RD 46,"","",0,"",39.1882739,-86.56685776,STATE ROAD,"",RURAL,N,Y,N,"",DARK (NOT LIGHTED),CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,UNSAFE SPEED,RAN OFF ROAD,STATERD46,""
1688,BLOOMINGTON PD,BLOOMINGTON,2022-09-12T00:00:00,12:15 PM,2,,0,0,0,"","","",300 BLK W. COUNTRY CLUB DR,S. MADISON ST,"",1000,"",0,0,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,S.MADISONST300BLKW.COUNTRYCLUBDR,""
1689,MONROE SD,BLOOMINGTON,2022-09-30T00:00:00,1:10 PM,3,,1,0,0,"","","",S CURRY PIKE,W DOYLE AVE,"",0,"",39.1580385,-86.58263644,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,WDOYLEAVESCURRYPIKE,""
1690,BLOOMINGTON PD,BLOOMINGTON,2022-09-20T00:00:00,10:25 AM,2,,0,0,0,"","","",411 S. WOODSCREST DRIVE,"","",0,"",0,0,PRIVATE DRIVE,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,UNSAFE BACKING,BACKING CRASH,411S.WOODSCRESTDRIVE,""
1691,BLOOMINGTON PD,BLOOMINGTON,2022-08-07T00:00:00,5:08 AM,1,,1,0,0,"","","",SARE RD,WINSLOW RD,"",0,"",,,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DARK (LIGHTED),CLOUDY,DRY,"",TRAFFIC CIRCLE/ROUNDABOUT,"",ASPHALT,FAILURE TO MAINTAIN LANE,RAN OFF ROAD,WINSLOWRDSARERD,""
1692,BLOOMINGTON PD,BLOOMINGTON,2022-07-04T00:00:00,10:00 PM,1,,1,0,0,"","","",3RD ST,HIGH ST,"",0,"",39.16427558,-86.50848189,"","",URBAN,N,N,N,"",DARK (LIGHTED),CLEAR,DRY,"",T-INTERSECTION,"",ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,RAN OFF ROAD,3RDSTHIGHST,""
1693,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-08-23T00:00:00,1:30 PM,2,,0,0,0,"","","",E 3RD ST,S WOODLAWN AVE,"",317,"",39.16429561,-86.52334954,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",T-INTERSECTION,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SWOODLAWNAVEE3RDST,""
1694,BLOOMINGTON PD,BLOOMINGTON,2022-07-07T00:00:00,11:00 PM,1,,0,0,0,"","","",1421 N WILLIS DR,"","",0,"",39.18252992,-86.54533553,PRIVATE DRIVE,"",URBAN,N,N,N,"",DARK (LIGHTED),CLEAR,WET,"",NO JUNCTION INVOLVED,"",ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,BACKING CRASH,1421NWILLISDR,""
1695,BLOOMINGTON PD,BLOOMINGTON,2022-09-21T00:00:00,1:00 PM,4,,1,0,0,"","","",S COLLEGE MALL RD,E 2ND ST,"",370,"",39.16027157,-86.49772636,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SCOLLEGEMALLRDE2NDST,""
1696,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-09-28T00:00:00,9:30 AM,2,,0,0,0,"","","",STATE RD 46,E 10TH ST,"",0,"",39.17092533,-86.50199122,STATE ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,STATERD46E10THST,""
1697,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-08-23T00:00:00,6:44 PM,2,,0,0,0,"","","",N UNION ST,"","",0,"",39.17392761,-86.51064123,PRIVATE DRIVE,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,UNSAFE BACKING,BACKING CRASH,NUNIONST,""
1698,MONROE SD,BLOOMINGTON,2022-08-03T00:00:00,12:50 PM,2,,0,0,0,"","","",S SR 37,S VICTOR PIKE,"",0,"",39.1055865,-86.551363,STATE ROAD,"",RURAL,N,Y,N,"",DAYLIGHT,CLEAR,DRY,"",T-INTERSECTION,"",ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,SVICTORPIKESSR37,""
1699,BLOOMINGTON PD,BLOOMINGTON,2022-08-25T00:00:00,6:59 PM,1,,1,0,0,"","","",S SMITH RD,S FENBROOK LN,"",0,"",39.15446814,-86.48061507,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,DRIVER ASLEEP OR FATIGUED,RAN OFF ROAD,SSMITHRDSFENBROOKLN,""
1700,BLOOMINGTON PD,BLOOMINGTON,2022-08-17T00:00:00,4:03 PM,2,,0,0,0,"","","",E ROGERS RD,S SARE RD,"",0,"",39.13595076,-86.49668429,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",TRAFFIC CIRCLE/ROUNDABOUT,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,SAME DIRECTION SIDESWIPE,SSARERDEROGERSRD,""
1701,BLOOMINGTON PD,BLOOMINGTON,2022-08-21T00:00:00,8:00 PM,1,,1,0,0,"","","",S COPPER BEECH WAY,S BASSWOOD DR,"",0,"",39.15665904,-86.57102055,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLOUDY,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,RAN OFF ROAD,SCOPPERBEECHWAYSBASSWOODDR,""
1702,BLOOMINGTON PD,BLOOMINGTON,2022-07-14T00:00:00,8:01 AM,1,,0,0,0,"","","","325 E WINSLOW RD BLOOMINGTON, IN","","",0,"",,,PRIVATE DRIVE,"",URBAN,N,N,N,"",DAWN/DUSK,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,UNSAFE SPEED,RAN OFF ROAD,"325EWINSLOWRDBLOOMINGTON,IN",""
1703,BLOOMINGTON PD,BLOOMINGTON,2022-09-22T00:00:00,1:22 PM,2,,2,0,0,"","","",N GRANT ST,E 8TH ST,"",264,"",39.16900407,-86.52979945,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NGRANTSTE8THST,""
1704,BLOOMINGTON PD,BLOOMINGTON,2022-09-28T00:00:00,4:32 AM,2,,2,0,0,"","","",S PETE ELLIS DR,LONGVIEW AVE,"",0,"",39.16694777,-86.49492615,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DARK (LIGHTED),CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SPETEELLISDRLONGVIEWAVE,""
1705,MONROE SD,BLOOMINGTON,2022-08-21T00:00:00,12:29 PM,2,,0,0,0,"","","",W AIRPORT RD,S BUNGER RD,"",0,"",39.13686446,-86.60599656,LOCAL/CITY ROAD,"",RURAL,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,WAIRPORTRDSBUNGERRD,""
1706,MONROE SD,BLOOMINGTON,2022-08-04T00:00:00,5:57 PM,2,,1,0,0,"","","",E SAMPLE RD,N OLD STATE ROAD 37,"",0,"",39.25863606,-86.50132273,LOCAL/CITY ROAD,"",RURAL,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",T-INTERSECTION,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,HEAD ON BETWEEN TWO MOTOR VEHICLES,NOLDSTATEROAD37ESAMPLERD,""
1707,ISP BLOOMINGTON 33,BLOOMINGTON,2022-06-13T00:00:00,10:44 AM,2,,2,0,0,"","","",I-69,"","",1056,"",39.21016059,-86.5540985,INTERSTATE,"",RURAL,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",CONCRETE,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,"",I-69121,""
1708,MONROE SD,BLOOMINGTON,2022-07-12T00:00:00,5:09 PM,2,,0,0,0,5100,"","",S VICTOR PIKE,"","",0,"",39.10718919,-86.55128424,PRIVATE DRIVE,"",RURAL,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,SAME DIRECTION SIDESWIPE,SVICTORPIKE,""
1709,BLOOMINGTON PD,BLOOMINGTON,2022-07-14T00:00:00,9:04 PM,2,,0,0,0,"","","",N PLYMOUTH RD,E WALPOLE LN,"",370,"",39.17381706,-86.47528715,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,IMPROPER PASSING,SAME DIRECTION SIDESWIPE,NPLYMOUTHRDEWALPOLELN,""
1710,ISP BLOOMINGTON 33,BLOOMINGTON,2022-07-12T00:00:00,6:16 PM,2,,0,0,0,"","","",E RHORER RD,S OLD STATE ROAD 37,"",0,"",39.12098693,-86.53063099,PRIVATE DRIVE,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,UNSAFE BACKING,BACKING CRASH,SOLDSTATEROAD37ERHORERRD,""
1711,BLOOMINGTON PD,BLOOMINGTON,2022-08-03T00:00:00,6:35 AM,2,,0,0,0,"","","",N MORTON ST,"","",0,"",39.16790025,-86.5361231,PRIVATE DRIVE,"",URBAN,N,N,N,"",UNKNOWN,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",CONCRETE,UNSAFE BACKING,REAR TO REAR,NMORTONST,""
1712,BLOOMINGTON PD,BLOOMINGTON,2022-07-18T00:00:00,7:06 PM,1,,1,0,0,"","","",S OLD STATE ROAD 37,E BURKS DR,"",0,"",39.12662152,-86.53136257,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",T-INTERSECTION,"",ASPHALT,DRIVER ILLNESS,RAN OFF ROAD,SOLDSTATEROAD37EBURKSDR,""
1713,BLOOMINGTON PD,BLOOMINGTON,2022-09-20T00:00:00,2:33 PM,2,,0,0,0,535,"","",S WALNUT ST,"","",0,"",39.15999701,-86.53287725,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,UNSAFE BACKING,BACKING CRASH,SWALNUTST,""
1714,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-09-07T00:00:00,11:30 AM,1,,1,0,0,"","","",E 9TH ST,N WOODLAWN AVE,"",0,"",39.17042211,-86.5235079,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",T-INTERSECTION,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT TURN,NWOODLAWNAVEE9THST,""
1715,ELLETTSVILLE PD,ELLETTSVILLE,2022-08-22T00:00:00,3:20 PM,2,,0,0,0,"","","",N SALE ST,STATE ROAD 46,"",150,"",0,0,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,STATEROAD46NSALEST,""
1716,BLOOMINGTON PD,BLOOMINGTON,2022-06-10T00:00:00,1:10 PM,2,,0,0,0,"","","",S WALNUT ST,W 2ND ST,"",0,"",39.16138456,-86.53365909,"","",URBAN,N,N,N,"",DAYLIGHT,CLOUDY,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,UNSAFE BACKING,BACKING CRASH,W2NDSTSWALNUTST,""
1717,BLOOMINGTON PD,BLOOMINGTON,2022-06-17T00:00:00,8:00 PM,2,,0,0,0,"","","",S ELEMENT WAY,"","",0,"",,,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",UNKNOWN,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,IMPROPER LANE USAGE,SAME DIRECTION SIDESWIPE,SELEMENTWAY,""
