_id,Agency,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control
34,MONROE SD,BLOOMINGTON,2022-01-27T00:00:00,11:30 AM,2,,0,0,0,"","","",WEST TAPP ROAD,SOUTH DANNY ROAD,"",400,"",0,0,COUNTY ROAD,"",RURAL,N,N,N,"",DAYLIGHT,CLOUDY,WET,"",TRAFFIC CIRCLE/ROUNDABOUT,"",ASPHALT,FAILURE TO MAINTAIN LANE,SAME DIRECTION SIDESWIPE,WESTTAPPROADSOUTHDANNYROAD,""
35,BLOOMINGTON PD,BLOOMINGTON,2022-01-14T00:00:00,10:58 PM,3,,0,0,0,"","","",N WALNUT ST,W 7TH ST,"",0,"",39.16861714,-86.53361089,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DARK (LIGHTED),CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,W7THSTNWALNUTST,""
36,BLOOMINGTON PD,BLOOMINGTON,2022-04-12T00:00:00,9:26 AM,2,,0,0,0,"","","",1011 W. 2ND ST,"","",0,"",0,0,PRIVATE DRIVE,"",URBAN,N,N,N,"",DAYLIGHT,CLOUDY,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,UNSAFE BACKING,BACKING CRASH,1011W.2NDST,""
37,MONROE SD,"",2022-01-15T00:00:00,10:21 AM,1,,0,0,0,"","","",S YOST AVE,W FARMER AVE,"",370,"",39.14990752,-86.58075681,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAWN/DUSK,SNOW,SNOW/SLUSH,"",NO JUNCTION INVOLVED,"",ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,RAN OFF ROAD,WFARMERAVESYOSTAVE,""
38,BLOOMINGTON PD,BLOOMINGTON,2022-02-02T00:00:00,12:00 AM,2,,0,0,0,"","","",W GEORGIA AVE,W 12TH CT.,"",0,"",39.17475275,-86.53741426,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",UNKNOWN,RAIN,WET,"",NO JUNCTION INVOLVED,"",ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,SAME DIRECTION SIDESWIPE,WGEORGIAAVEW12THCT.,""
39,ISP BLOOMINGTON 33,BLOOMINGTON,2022-02-02T00:00:00,1:35 PM,1,,0,0,0,"","","",I-69,"","",0,"",39.15892554,-86.57292804,INTERSTATE,"",URBAN,N,N,N,"",DAYLIGHT,RAIN,WET,"",NO JUNCTION INVOLVED,"",ASPHALT,"",RAN OFF ROAD,I-69117.5,""
40,ISP BLOOMINGTON 33,BLOOMINGTON,2022-01-05T00:00:00,7:30 AM,1,,0,0,0,"","","",STATE RD 46,W OF KENT RD,"",0,"",39.15200001,-86.40538259,STATE ROAD,"",RURAL,N,N,N,"",DARK (NOT LIGHTED),CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,UNSAFE LANE MOVEMENT,OPPOSITE DIRECTION SIDESWIPE,WOFKENTRDSTATERD46,""
41,ISP BLOOMINGTON 33,BLOOMINGTON,2022-01-08T00:00:00,2:35 PM,1,,0,0,0,"","","",I-69,"","",0,"",39.05784751,-86.6813022,INTERSTATE,"",RURAL,N,N,N,"",DAYLIGHT,SLEET/HAIL/FREEZING RAIN,ICE,"",NO JUNCTION INVOLVED,"",CONCRETE,"",RAN OFF ROAD,I-69105.5,""
42,BLOOMINGTON PD,BLOOMINGTON,2022-05-04T00:00:00,1:20 PM,2,,0,0,0,"","","",E 10TH ST,N GRANT ST,"",0,"",39.17166589,-86.52978034,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLOUDY,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NGRANTSTE10THST,""
43,BLOOMINGTON PD,BLOOMINGTON,2022-04-15T00:00:00,10:58 AM,2,,1,0,0,"","","",EAST 3RD ST,WASHINGTON ST,"",0,"",39.164585,-86.532368,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,WASHINGTONSTEAST3RDST,""
