Agency,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control
BLOOMINGTON PD,BLOOMINGTON,4/30/2019,10:45 AM,2,0,1,0,0,,,,W 3RD,S KIMBLE DR,,,,39.16454,-86.56799,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FIVE POINT OR MORE,STRAIGHT/GRADE,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,KIMBLEDRWEST3RDST,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,4/30/2019,4:44 PM,2,0,1,0,0,,,,W ARLINGTON,S GOURLEY PIKE,,,,39.186544,-86.551168,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,BRAKE FAILURE OR DEFECTIVE,REAR END,SGOURLEYPIKEWARLINGTONRD,NONE
ELLETTSVILLE PD,ELLETTSVILLE,5/1/2019,9:21 AM,2,0,1,0,0,,,,SR 46,N MATTHEWS DR,,,,39.234768,-86.626384,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,MATTHEWSDRSR46W,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,5/1/2019,9:34 AM,2,0,4,0,0,,,,SR 46,S PARK RIDGE RD,,,,39.16422,-86.4763,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,E3RDSTPARKRIDGERD,NONE
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,5/1/2019,6:10 PM,2,0,0,0,0,,,,E JONES,N JORDAN AVE,,300,E,39.1654,-86.51639595,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,BACKING CRASH,EJONESAVEJORDANAVE,NONE
BLOOMINGTON PD,BLOOMINGTON,5/1/2019,3:19 PM,2,0,0,0,0,,,,N COLLEGE,W 8TH ST,,,,39.169552,-86.534784,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,NCOLLEGEAVEW8THST,STOP SIGN
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,5/1/2019,2:50 PM,2,0,0,0,0,,,,N JORDAN,E 7TH ST,,,,39.168944,-86.516016,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,7THSTJORDANAVE,STOP SIGN
MONROE SD,BLOOMINGTON,5/1/2019,7:21 AM,1,0,0,0,1,,,,S CHAPEL HILL,HARDIN RIDGE RD,,600,N,39.009952,-86.428256,COUNTY ROAD,N,RURAL,N,N,N,,DAWN/DUSK,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,ANIMAL/OBJECT IN ROADWAY,RAN OFF ROAD,CHAPELHILLRDHARDINRIDGERD,NONE
MONROE SD,BLOOMINGTON,5/1/2019,11:54 PM,1,0,0,0,0,,,,S FAIRFAX,S STRAIN RIDGE RD,,,,39.074448,-86.5056,LOCAL/CITY ROAD,Y,RURAL,N,N,N,,DARK (LIGHTED),FOG/SMOKE/SMOG,WET,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,SFAIRFAXRDSTRAINRIDGERD,STOP SIGN
BLOOMINGTON PD,BLOOMINGTON,5/1/2019,4:49 PM,1,0,1,0,0,,,,S ROGERS,W COOLIDGE DR,,,,39.14125,-86.53883,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,PEDESTRIAN ACTION,RIGHT ANGLE,SROGERSSTWCOOLIDGEDR,STOP SIGN
BLOOMINGTON PD,BLOOMINGTON,5/1/2019,7:55 AM,2,0,0,0,0,,,,S WALNUT ST PIKE,S HENDERSON ST,,,,39.13413,-86.52688,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,HENDERSONSTWALNUTSTREETPIKE,STOP SIGN
BLOOMINGTON PD,BLOOMINGTON,5/1/2019,11:58 AM,2,0,0,0,0,,,,W 1ST,S ROGERS ST,,,,39.17664,-86.538496,LOCAL/CITY ROAD,N,URBAN,Y,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,1STSTROGERSST,STOP SIGN
BLOOMINGTON PD,BLOOMINGTON,5/2/2019,11:59 AM,2,0,1,0,0,,,,SR 45/46,N KINSER PIKE,,,,39.186544,-86.537888,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,KINSERPIKESR45E,NONE
BLOOMINGTON PD,BLOOMINGTON,5/2/2019,5:35 PM,3,0,0,0,0,,,,SR 45,INDUSTRIAL BLVD,,,,39.1436,-86.58031,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,SR45WWINDUSTRIALBLVD,TRAFFIC CONTROL SIGNAL
MONROE SD,BLOOMINGTON,5/2/2019,5:13 PM,3,0,1,0,0,,,,SR 46,W ARLINGTON RD,,150,E,39.20763,-86.57989299,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,ARLINGTONRDSR46W,NONE
BLOOMINGTON PD,BLOOMINGTON,5/2/2019,7:20 AM,2,0,0,0,0,398,,,W COUNTRY CLUB,S MADISON ST,,200,E,39.1360324,-86.53572653,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,WET,,TRAIL CROSSINGS,STRAIGHT/HILLCREST,ASPHALT,BRAKE FAILURE OR DEFECTIVE,REAR END,398WCOUNTRYCLUBDRMADISONST,NONE
