Agency,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,9/28/2019,10:15 PM,3,0,2,0,0,,,,SR 45/46,,,2000,E,39.18596,-86.51983304,STATE ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,OBSTRUCTION NOT MARKED,REAR END,FEELNSR46,LANE CONTROL
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,9/29/2019,1:55 PM,2,0,0,0,0,,,,S HIGHLAND,E 3RD ST,,,,39.16427,-86.51772,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,LEFT TURN,HIGHLANDAVETHIRDST,NONE
BLOOMINGTON PD,BLOOMINGTON,9/29/2019,9:20 PM,2,0,1,0,0,,,,W 17TH,N WILLIS DR,,,,39.179104,-86.544016,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,T-INTERSECTION,STRAIGHT/HILLCREST,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,NWILLISDRW17THST,NONE
MONROE SD,BLOOMINGTON,9/29/2019,9:50 PM,1,0,0,0,1,,,,I-69 S,,,300,N,41.38017958,-85.07445188,INTERSTATE,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,I69S130,NONE
BLOOMINGTON PD,BLOOMINGTON,9/29/2019,12:53 PM,2,0,0,0,0,,,,W TAPP,S ROCKPORT RD,,,,39.13635,-86.54875,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SROCKPORTRDWTAPPRD,NONE
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,9/30/2019,2:40 PM,2,0,0,0,0,,,,S JORDAN,E 3RD ST,,,,39.16426,-86.51642,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,IMPROPER LANE USAGE,SAME DIRECTION SIDESWIPE,JORDANAVETHIRDST,NONE
BLOOMINGTON PD,BLOOMINGTON,9/30/2019,9:54 AM,2,0,0,0,0,,,,E 3RD,S DUNN ST,,,,39.164448,-86.528096,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/HILLCREST,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,EAST3RDSTSOUTHDUNNST,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,9/30/2019,5:40 PM,2,0,0,0,0,,,,S WALNUT,W COUNTRY CLUB DR,,,,39.13597,-86.53111,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,HEAD ON BETWEEN TWO MOTOR VEHICLES,COUNTRYCLUBDRSOUTHWALNUTST,TRAFFIC CONTROL SIGNAL
MONROE SD,BLOOMINGTON,9/30/2019,3:53 PM,2,0,0,0,0,,,,S WALNUT,SR 37,,,,39.085632,-86.542304,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,OLDSTATEROAD37RDSR37S,TRAFFIC CONTROL SIGNAL
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,9/30/2019,6:35 PM,2,1,1,0,0,,,,SR 45/46,N FEE LN,,,,39.1863,-86.53191,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,BRAKE FAILURE OR DEFECTIVE,REAR END,MATLOCKRDSR46,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,9/30/2019,12:07 PM,2,0,0,0,0,,,,S ADAMS,S PATTERSON DR,,100,N,39.17498939,-86.55188,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,ADAMSSTPATTERSONDR,LANE CONTROL
BLOOMINGTON PD,BLOOMINGTON,9/30/2019,12:20 PM,2,0,1,0,0,,,,W 3RD,S PATTERSON DR,,,,0,0,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,E3RDSTSPATTERSONDR,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,9/30/2019,2:29 PM,2,0,0,0,0,,,,E 10TH,N LINCOLN ST,,,,39.171712,-86.530992,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,E10THSTNLINCOLNST,STOP SIGN
ISP BLOOMINGTON 33,BLOOMINGTON,9/30/2019,18:00 M,1,,0,0,0,,,,E TOWER RIDGE,,,0,S,39.0125116,-86.37835211,COUNTY ROAD,,RURAL,N,N,N,,DAYLIGHT,CLEAR,LOOSE MATERIAL ON ROAD,,NO JUNCTION INVOLVED,,GRAVEL,,RAN OFF ROAD,,
BLOOMINGTON PD,BLOOMINGTON,9/30/2019,8:38 AM,2,0,0,0,0,,,,S HENDERSON,E HILLSIDE DR,,,,39.15056,-86.52693,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,HENDERSONSTHILLSIDEDR,LANE CONTROL
MONROE SD,BLOOMINGTON,9/30/2019,3:47 PM,2,0,0,0,0,300,,,W CLEAR CREEK,S MADISON ST,,50,W,39.111785,-86.53652467,LOCAL/CITY ROAD,N,RURAL,Y,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,BACKING CRASH,SMADISONSTW300CLEARCREEKDR,NONE
BLOOMINGTON PD,BLOOMINGTON,9/30/2019,6:57 PM,1,0,0,0,0,130,,,W GRIMES,,,,,39.15434533,-86.5360335,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,CONCRETE,IMPROPER TURNING,OTHER - EXPLAIN IN NARRATIVE,WGRIMESLN,NONE
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,10/1/2019,10:00 AM,1,0,0,0,0,,,,E 17TH,N INDIANA AVE,,,,39.179024,-86.5272,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,OTHER - EXPLAIN IN NARRATIVE,IMPROPER TURNING,COLLISION WITH OBJECT IN ROAD,EAST17THSTINDIANAAVE,NONE
BLOOMINGTON PD,BLOOMINGTON,10/1/2019,7:00 PM,1,0,1,0,0,,,,W 1ST,S COLLEGE AVE,,,,39.17688,-86.534736,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,SCOLLEGEAVEW1STST,TRAFFIC CONTROL SIGNAL
MONROE SD,BLOOMINGTON,10/1/2019,5:26 PM,2,0,0,0,0,,,,S FAIRFAX,S WALNUT ST PIKE,,,,39.10719,-86.52648,COUNTY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,LEFT TURN,SFAIRFAXRDSWALNUTSTREETPIKE,STOP SIGN
BLOOMINGTON PD,BLOOMINGTON,10/1/2019,2:25 PM,2,0,1,0,0,,,,N GATES,W JONATHAN DR,,,,39.16876,-86.57642,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,CONCRETE,FOLLOWING TOO CLOSELY,REAR END,WGATESDRWJONATHANDR,STOP SIGN
BLOOMINGTON PD,BLOOMINGTON,10/1/2019,11:42 AM,2,0,1,0,0,,,,N PETE ELLIS,E LONGVIEW AVE,,,,39.166944,-86.495056,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,ELONGVIEWAVENPETEELLISDR,STOP SIGN
BLOOMINGTON PD,BLOOMINGTON,10/1/2019,11:41 AM,2,0,0,0,0,,,,N WALNUT,W 11TH ST,,,,39.173248,-86.533488,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/HILLCREST,ASPHALT,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,NWALNUTSTW11THST,NONE
BLOOMINGTON PD,BLOOMINGTON,10/1/2019,11:01 AM,2,0,0,0,0,,,,S ROGERS,S PATTERSON DR,,,,39.15381,-86.53874,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,LEFT TURN,SOUTHROGERSSTWESTPATTERSONDR,NONE
BLOOMINGTON PD,BLOOMINGTON,10/1/2019,3:15 PM,3,0,0,0,0,,,,S WALNUT,W SOUTHERN DR,,,,39.14977,-86.5335,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,CONCRETE,FOLLOWING TOO CLOSELY,REAR END,ESOUTHERNDRSWALNUTST,STOP SIGN
BLOOMINGTON PD,BLOOMINGTON,10/2/2019,8:30 PM,2,0,1,0,0,,,,S CURRY,SR 45,,150,N,39.142048,-86.582592,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SCURRYPIKESR45W,NONE
MONROE SD,BLOOMINGTON,10/2/2019,7:48 PM,2,0,0,0,0,,,,S WALNUT,W CHURCH LN,,,,39.107248,-86.531392,COUNTY ROAD,N,RURAL,N,N,N,,DARK (LIGHTED),CLEAR,DRY,NONE,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,IMPROPER LANE USAGE,HEAD ON BETWEEN TWO MOTOR VEHICLES,SOLDSTATE37RDWCHURCHLN,TRAFFIC CONTROL SIGNAL
MONROE SD,BLOOMINGTON,10/2/2019,10:43 AM,2,0,0,0,0,,,,SR 46,N LOWER BIRDIE GALYAN RD,,4000,E,39.16269,-86.41369565,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,NLOWERBIRDIEGALYANRDSR46E,LANE CONTROL
BLOOMINGTON PD,BLOOMINGTON,10/2/2019,5:45 PM,2,0,0,0,0,,,,S COLLEGE MALL,E COVENANTER DR,,,,39.15518,-86.49774,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,EASTCOVENANTERDRSOUTHCOLLEGEMALL,TRAFFIC CONTROL SIGNAL
MONROE SD,BLOOMINGTON,10/2/2019,12:16 AM,1,0,1,0,0,,,,S WALNUT,S WALNUT ST PIKE,,500,S,39.107344,-86.5264,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,UNSAFE SPEED,RAN OFF ROAD,SOUTHWALNUTSTREETPIKESOUTHWALNUTST,NONE
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,10/2/2019,5:40 PM,2,0,0,0,0,,,,E 3RD,S ROSE AVE,,,,39.16426,-86.51092,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,ROSEAVETHIRDST,STOP SIGN
BLOOMINGTON PD,BLOOMINGTON,10/2/2019,7:45 AM,2,0,0,0,0,,,,S ROGERS,W PROSPECT ST,,,,39.16373,-86.5387,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,PROSPECTSTROGERSST,LANE CONTROL
MONROE SD,BLOOMINGTON,10/2/2019,10:17 AM,2,0,0,0,0,,,,SR 45,N PRAIRIE GREEN CT,,1400,E,0,0,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,HEAD ON BETWEEN TWO MOTOR VEHICLES,NPRAIRIEGREENCTSR45E,NONE
BLOOMINGTON PD,BLOOMINGTON,10/2/2019,4:19 PM,3,0,1,0,0,,,,W GRIMES,S MORTON ST,,250,E,39.15337,-86.53639163,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SOUTHMORTONSTWESTGRIMESLN,LANE CONTROL
ISP BLOOMINGTON 33,BLOOMINGTON,10/3/2019,17:00 M,2,,0,0,0,,100,D,SR 48,I-69,Y,317,W,39.1642992,-86.57386537,INTERSTATE,,URBAN,N,Y,N,,DAYLIGHT,CLEAR,DRY,,Y-INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,REAR END,,
BLOOMINGTON PD,BLOOMINGTON,10/3/2019,11:45 AM,3,0,0,0,0,,,,S LEONARD SPRINGS,SR 45,,,,39.12239,-86.61428,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,DRIVER ASLEEP OR FATIGUED,SAME DIRECTION SIDESWIPE,LEONARDSPRINGSRDSR45RD,NONE
MONROE SD,BLOOMINGTON,10/3/2019,7:06 PM,2,0,0,0,0,,,,N CURRY,W WOODYARD RD,,,,39.190672,-86.582992,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NCURRYPIKEWWOODYARDRD,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,10/3/2019,8:12 PM,1,0,1,0,0,,,,SR 45,N SMITH RD,,,,39.172752,-86.482288,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,T-INTERSECTION,CURVE/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,E10THSTNSMITHRD,STOP SIGN
BLOOMINGTON PD,BLOOMINGTON,10/3/2019,3:26 PM,4,0,1,0,0,,,,SR 45/46,I-69,Y,500,W,39.18686,-86.54661172,STATE ROAD,N,URBAN,N,N,Y,X-OVER/LANE SHIFT,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,CONCRETE,BRAKE FAILURE OR DEFECTIVE,OPPOSITE DIRECTION SIDESWIPE,NMONROESTSR46W,NONE
BLOOMINGTON PD,BLOOMINGTON,10/3/2019,6:20 PM,3,0,0,0,0,,,,E 10TH,N INDIANA AVE,,,,39.17168,-86.527024,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,E10THSTNINDIANAAVE,TRAFFIC CONTROL SIGNAL
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,10/3/2019,10:45 PM,2,0,0,0,0,,,,E 17TH,N DUNN ST,,,,39.17904,-86.5284,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,DUNNSTEAST17THST,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,10/3/2019,10:20 AM,2,0,0,0,0,2455,,,E TAMARACK,,,,,39.189968,-86.52128,UNKNOWN,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,UNSAFE BACKING,BACKING CRASH,TAMARACKTRL,NONE
BLOOMINGTON PD,BLOOMINGTON,10/3/2019,10:34 PM,2,0,0,0,0,,,,N MADISON,W 16TH ST,,100,N,39.177744,-86.53776,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE SPEED,SAME DIRECTION SIDESWIPE,NMADISONSTW16THST,NONE
ISP BLOOMINGTON 33,BLOOMINGTON,10/3/2019,10:18 M,1,,0,0,0,7415,,,W OLD SR 37,,,900,S,39.25706416,-86.50113098,COUNTY ROAD,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,ANIMAL/OBJECT IN ROADWAY,RAN OFF ROAD,,
BLOOMINGTON PD,BLOOMINGTON,10/4/2019,11:00 AM,2,0,0,0,0,,,,S WALNUT ST PIKE,E WINSLOW RD,,,,39.13599,-86.52881,LOCAL/CITY ROAD,N,URBAN,N,N,Y,WORK ON SHOULDER,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,EWINSLOWRDSWALNUTSTREETPIKE,STOP SIGN
BLOOMINGTON PD,BLOOMINGTON,10/4/2019,11:19 AM,2,0,0,0,0,,,,S GATES,SR 48,,,,39.16459,-86.5762,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,CURVE/LEVEL,ASPHALT,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,SGATESDRW3RDST,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,10/4/2019,10:15 PM,2,0,1,0,0,,,,E 3RD,S DUNN ST,,,,39.164448,-86.528096,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,CURVE/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,E3RDSTSDUNNST,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,10/4/2019,10:20 PM,2,0,0,0,0,,,,E SMITH,S GRANT ST,,150,E,39.162848,-86.52921479,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,SAME DIRECTION SIDESWIPE,GRANTSTSMITHAVE,NONE
MONROE SD,BLOOMINGTON,10/4/2019,7:10 PM,1,0,0,0,0,,,,E TOWER RIDGE,S HUNTERS CREEK RD,,6000,W,39.02982,-86.32548204,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DAWN/DUSK,CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,GRAVEL,UNSAFE SPEED,RAN OFF ROAD,ETOWERRIDGERDSHUNTERSCREEKRD,NONE
MONROE SD,BLOOMINGTON,10/4/2019,5:00 PM,2,1,0,0,0,,,,I-69 S,,,100,S,41.15424437,-85.11144414,INTERSTATE,N,RURAL,N,N,B,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,I69S114,NONE
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,10/4/2019,9:30 AM,2,0,0,0,0,880,,,N FEE,E LAW LN,,,,39.17432067,-86.51889091,UNKNOWN,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,LEFT TURN,NWALNUTGROVEAVE,NONE
MONROE SD,BLOOMINGTON,10/4/2019,6:47 AM,2,0,0,0,0,,,,S PARK SQUARE,W GIFFORD RD,,450,N,39.154448,-86.591696,LOCAL/CITY ROAD,N,URBAN,Y,N,N,,DARK (LIGHTED),CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,OBSTRUCTION NOT MARKED,SAME DIRECTION SIDESWIPE,SPARKSQUAREDRWGIFFORDRD,NONE
BLOOMINGTON PD,BLOOMINGTON,10/4/2019,8:47 AM,2,0,0,0,0,,,,S ROGERS,W RALSTON DR,,,,39.13839,-86.53852,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OPPOSITE DIRECTION SIDESWIPE,RALSTONDRROGERSST,LANE CONTROL
MONROE SD,BLOOMINGTON,10/4/2019,2:09 AM,1,0,0,0,1,,,,S SNODDY,E RHORER RD,,1050,N,39.121584,-86.489744,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,ERHORERRDSSNODDYRD,NO PASSING ZONE
ELLETTSVILLE PD,ELLETTSVILLE,10/5/2019,5:25 PM,2,0,1,0,0,,,,SR 46,N UNION VALLEY RD,,,,39.215152,-86.5928,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NORTHUNIONVALLEYRDSR46W,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,10/5/2019,2:20 PM,3,0,0,0,0,,,,SR 46,I-69 S,Y,,,39.1635607,-86.42617616,STATE ROAD,N,URBAN,N,N,Y,X-OVER/LANE SHIFT,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,CONCRETE,FOLLOWING TOO CLOSELY,REAR END,I69SSR46E,NONE
ELLETTSVILLE PD,ELLETTSVILLE,10/5/2019,12:39 PM,2,0,0,0,0,,,,SR 46,N SALE ST,,,,39.23384,-86.624704,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,SALESTSR46W,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,10/5/2019,9:17 AM,2,0,0,0,0,,,,S WALNUT,E MILLER DR,,100,S,39.13632034,-86.53265,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,SAME DIRECTION SIDESWIPE,EMILLERDRSWALNUTST,NONE
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,10/5/2019,11:25 PM,2,0,0,0,0,,,,E 17TH,N COLLEGE AVE,,,,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,WRONG WAY ON ONE WAY,OPPOSITE DIRECTION SIDESWIPE,COLLEGEAVEEAST17THST,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,10/5/2019,2:00 PM,2,0,0,0,0,,,,E 2ND,S WOODLAWN AVE,,50,E,39.16107,-86.52264432,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,IMPROPER LANE USAGE,SAME DIRECTION SIDESWIPE,E2NDSTSWOODLAWNAVE,NONE
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,10/5/2019,2:16 AM,1,0,0,0,0,,,,N INDIANA,E 6TH ST,,,,39.16752,-86.52695,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,UNSAFE SPEED,RAN OFF ROAD,INDIANAAVESIXTHST,OTHER
MONROE SD,BLOOMINGTON,10/5/2019,7:06 PM,1,0,0,0,0,,,,SR 46,E TRAILWAY DR,,300,E,39.16441196,-86.42800093,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,ETRAILWAYRDSR46E,NONE
ELLETTSVILLE PD,ELLETTSVILLE,10/5/2019,7:54 AM,2,0,0,0,0,,,,SR 46,W RICHLAND PLAZA DR,,,,39.21641,-86.59532,STATE ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,RICHLANDPLZSR46W,NONE
