_id,Agency,City,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control,DateTime
2562,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,1,,,,SR 45,N YOUNG CEMETERY RD,,1000.0,E,39.23079564,-86.42847466,STATE ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,T-INTERSECTION,CURVE/HILLCREST,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,SR45ETUNNELRD,NONE,2021-03-09 01:51:00
2563,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0,0,101,,,MUSICAL ARTS CENTER CIRCLE,,,,,,,UNKNOWN,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,NJORDANAVE,NONE,2021-03-09 11:15:00
2564,BLOOMINGTON PD,BLOOMINGTON,4,0.0,5.0,0,0,,,,E WINSLOW RD,S HENDERSON ST,,100.0,W,39.136144,-86.5268,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,EWINSLOWRDSHENDERSONST,TRAFFIC CONTROL SIGNAL,2021-03-09 13:05:00
2565,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,N INDIANA AVE,E KIRKWOOD AVE,,,,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE LANE MOVEMENT,LEFT TURN,INDIANAAVEKIRKWOODAVE,NONE,2021-03-09 13:29:00
2566,ISP BLOOMINGTON 33,BLOOMINGTON,2,,0.0,0,0,,,,I-69 N,,,1003.0,S,39.12875864,-86.57290883,INTERSTATE,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,,SAME DIRECTION SIDESWIPE,SYonkersStI-69,,2021-03-09 14:05:00
2567,BLOOMINGTON PD,BLOOMINGTON,3,0.0,1.0,0,0,,,,SR 46,E EASTGATE LN (N),,150.0,N,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,EEASTGATELNNSTATEROAD46HWY,NONE,2021-03-09 14:47:00
2568,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,Y,W 3RD ST,I-69 S,,,,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,SAME DIRECTION SIDESWIPE,I69SEXITRPW3RDST,NONE,2021-03-09 15:28:00
2569,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,SR 48,W 3RD ST (ENTRANCE TO WHITEHALL CROSSING),,175.0,W,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,RIGHT ANGLE,NGATESDRW3RDST,YIELD SIGN,2021-03-09 16:09:00
2570,ELLETTSVILLE PD,ELLETTSVILLE,2,0.0,0.0,0,0,,,,SR 46,N SALE ST (N),,,,,,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SALESTSR46W,TRAFFIC CONTROL SIGNAL,2021-03-09 17:10:00
2571,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,0,,,,S FAIRFAX RD,E MARIE LN,,350.0,S,39.06873912,-86.52248,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,CONCRETE,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,RAN OFF ROAD,EMARIELNSFAIRFAXRD,NONE,2021-03-09 18:29:00
2572,BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0,0,,,,SR 45/46,N KINSER PIKE,,,,39.186544,-86.537888,STATE ROAD,N,URBAN,N,Y,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NKINSERPIKESR46W,TRAFFIC CONTROL SIGNAL,2021-03-09 20:04:00
2573,BLOOMINGTON PD,BLOOMINGTON,3,0.0,0.0,0,0,,,,S PATTERSON DR,W 2ND ST,,,,39.160737,-86.548536,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SPATTERSONDRW2NDST,TRAFFIC CONTROL SIGNAL,2021-03-09 20:30:00
2574,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,N JORDAN AVE,,,200.0,S,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,7THSTJORDANAVE,NONE,2021-03-08 15:58:00
2575,BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0,0,,,,E 10TH ST,N GRANT ST,,,,39.171696,-86.529696,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,E10THSTNGRANTST,NONE,2021-03-08 17:46:00
2576,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,S ROGERS ST,W PATTERSON DR,,,,,,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SOUTHROGERSSTWESTPATTERSONDR,TRAFFIC CONTROL SIGNAL,2021-03-08 20:40:00
2577,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,N ROGERS ST,W 11TH ST,,75.0,N,39.173184,-86.538528,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAWN/DUSK,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,RAN OFF ROAD,NROGERSSTW11THST,STOP SIGN,2021-03-08 21:55:00
2578,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,0,,,,W OLD SR 37,E WHISNAND RD,,100.0,N,,,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,ANIMAL/OBJECT IN ROADWAY,RAN OFF ROAD,NWHISNANDRDOLDSTATEROAD37NRD,LANE CONTROL,2021-03-07 05:19:00
2579,BLOOMINGTON PD,BLOOMINGTON,2,0.0,2.0,0,0,,,,W 17TH ST,N KINSER PIKE,,,,39.178992,-86.537792,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,CONCRETE,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,NKINSERPIKEW17THST,TRAFFIC CONTROL SIGNAL,2021-03-07 13:31:00
2580,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1,0.0,1.0,0,0,,,,N WALNUT GROVE ST,E 17TH ST,,,,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT/RIGHT TURN,EAST17THSTWALNUTGROVEST,LANE CONTROL,2021-03-07 17:50:00
2581,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,N WALNUT ST,W 9TH ST,,,,39.170544,-86.533536,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,SAME DIRECTION SIDESWIPE,NORTHWALNUTSTWEST9THST,LANE CONTROL,2021-03-06 14:10:00
2582,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,S ROGERS ST,W HAYS CT,,,,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SROGERSSTWHAYSCT,NONE,2021-03-06 18:36:00
2583,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,N SR 37 BUSINESS,W OLD SR 37,,30.0,E,,,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,REAR END,NOLDSTATEROAD37RDNSTATEROAD37BUSINESSRD,TRAFFIC CONTROL SIGNAL,2021-03-06 19:16:00
2584,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,N CAMPBELL ST,E 7TH ST,,100.0,N,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,UNSAFE BACKING,BACKING CRASH,7THSTCAMPBELLST,NONE,2021-03-06 19:43:00
2585,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,1,,,,SR 45,W HINDS RD,,200.0,E,39.09958915,-86.65157309,STATE ROAD,N,URBAN,N,Y,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,SR45WWHINDSRD,NONE,2021-03-06 20:14:00
2586,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,E 18TH ST,N DUNN ST,,150.0,W,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,UNSAFE BACKING,BACKING CRASH,DUNNSTEIGHTEENTHST,NONE,2021-03-06 21:45:00
2587,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,S ROGERS ST,W 2ND ST,,,,39.16152,-86.538592,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAWN/DUSK,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,SROGERSSTW2NDST,TRAFFIC CONTROL SIGNAL,2021-03-05 06:53:00
2588,MONROE SD,BLOOMINGTON,2,0.0,0.0,0,0,,,,W WOODYARD RD,W VERNAL PIKE,,,,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,REAR END,WVERNALPIKEWWOODYARDRD,STOP SIGN,2021-03-05 09:19:00
2589,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,N UNION ST,E 10TH ST,,,,,,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,BACKING CRASH,TENTHSTUNIONST,NONE,2021-03-05 10:30:00
2590,ELLETTSVILLE PD,ELLETTSVILLE,2,0.0,0.0,0,0,,,,SR 46,W FLATWOODS RD,,,,39.252448,-86.653904,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,REAR END,FLATWOODSRDSR46W,LANE CONTROL,2021-03-05 11:50:00
2591,MONROE SD,BLOOMINGTON,1,0.0,1.0,0,0,,,,W CARMICHAEL RD,,,5000.0,W,39.026825,-86.66847665,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,OVERCORRECTING/OVERSTEERING,RAN OFF ROAD,WCARMICHAELRDWROCKEASTRD,NONE,2021-03-05 16:23:00
2592,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,S PATTERSON DR,W ALLEN ST,,,,,,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SPATTERSONDRWALLENST,TRAFFIC CONTROL SIGNAL,2021-03-05 16:49:00
2593,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,S ROGERS ST,S ROCKPORT RD,,,,39.146448,-86.5388,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DARK (LIGHTED),CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,UNSAFE LANE MOVEMENT,REAR END,ROCKPORTRDROGERST,TRAFFIC CONTROL SIGNAL,2021-03-04 00:42:00
2594,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,1,,,,SR 446,S DUTCH RIDGE RD,,,,,,STATE ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,CURVE/LEVEL,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,DUTCHRIDGERDSR446,LANE CONTROL,2021-03-04 04:29:00
2595,BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0,0,,,,S SMITH RD,E STONEGATE DR,,100.0,N,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,SMITHRDSTONEGATEDR,NONE,2021-03-04 05:10:00
2596,MONROE SD,BLOOMINGTON,2,0.0,0.0,0,0,,,,S BUSHMILL DR,,,200.0,S,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAWN/DUSK,CLEAR,DRY,,T-INTERSECTION,CURVE/GRADE,ASPHALT,UNSAFE BACKING,BACKING CRASH,BUSHMILLDRLEIGHTONDR,NONE,2021-03-04 07:45:00
2597,BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0,0,,,,W OLD SR 37,N COLLEGE AVE,,,,39.186352,-86.534704,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,CONCRETE,WRONG WAY ON ONE WAY,RIGHT ANGLE,NCOLLEGEAVENOLDSR37EXT,STOP SIGN,2021-03-04 15:27:00
2598,MONROE SD,BLOOMINGTON,2,0.0,0.0,0,0,,,,S OLD SR 37,W MONROE DAM RD,,,,,,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,OLDSTATERD37RDWMONROEDAMRD,STOP SIGN,2021-03-04 15:37:00
2599,BLOOMINGTON PD,BLOOMINGTON,3,0.0,0.0,0,0,,,,SR 45/46,N DUNN ST,,,,39.186352,-86.528496,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,NDUNNSTSR4546E,TRAFFIC CONTROL SIGNAL,2021-03-04 16:44:00
2600,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,0,,,,N CURRY PIKE,W VERNAL PIKE,,,,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,CURRYPIKEVERNALPIKE,NONE,2021-03-04 16:52:00
2601,MONROE SD,BLOOMINGTON,2,0.0,1.0,0,0,3585,,,SR 45,ENTRANCE TO WALMART (NE),,,,,,UNKNOWN,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,WSTATERD45RD,STOP SIGN,2021-03-04 18:07:00
2602,BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0,1,,,,SR 446,E BRIDGESTONE DR,,100.0,N,,,STATE ROAD,N,URBAN,N,N,N,,DAWN/DUSK,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,BRIDGESTONEDRSR446S,NONE,2021-03-03 07:17:00
2603,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,E EASTGATE LN,,,200.0,E,39.16996791,-86.50306912,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OPPOSITE DIRECTION SIDESWIPE,EASTGATELNHILLSDALEDR,NONE,2021-03-03 08:12:00
2604,ELLETTSVILLE PD,ELLETTSVILLE,2,0.0,0.0,0,0,,,,W REEVES RD,W EDGEWOOD DR,,,,39.231312,-86.63816,LOCAL/CITY ROAD,N,URBAN,Y,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,EDGEWOODDRREEVESRD,STOP SIGN,2021-03-03 09:19:00
2605,MONROE SD,BLOOMINGTON,2,0.0,1.0,1,0,,,,S ROGERS ST,S HAYS DR (S),,100.0,S,39.12504,-86.5388,LOCAL/CITY ROAD,N,RURAL,Y,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/HILLCREST,ASPHALT,LEFT OF CENTER,HEAD ON BETWEEN TWO MOTOR VEHICLES,SOUTHHAYSCTSOUTHROGERSST,NONE,2021-03-03 10:40:00
2606,MONROE SD,BLOOMINGTON,2,0.0,0.0,0,0,,,,S CURRY PIKE,W SIERRA DR,,,,39.1524,-86.582704,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,SCURRYPIKESIERRADR,NONE,2021-03-03 11:04:00
2607,BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0,0,,,,W COUNTRY CLUB DR,S MILTON DR,,500.0,W,39.13608,-86.538096,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,SROGERSRDWCOUNTRYCLUBDR,NONE,2021-03-03 13:11:00
2608,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,W JACOB DR,N GATES DR,,,,,,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,UNSAFE BACKING,BACKING CRASH,GATESDRJACOBDR,STOP SIGN,2021-03-03 13:20:00
2609,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,W GRIMES LN,S WALNUT ST,,,,39.15344,-86.5336,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,CONCRETE,FOLLOWING TOO CLOSELY,REAR END,SOUTHWALNUTSTWESTGRIMESLN,TRAFFIC CONTROL SIGNAL,2021-03-03 15:00:00
2610,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,S WALNUT ST,,,300.0,N,,,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,EBURKSDRSWALNUTST,NONE,2021-03-03 17:45:00
2611,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,1,,,,N CURRY PIKE,SR 46,,,,,,COUNTY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,46HWYCURRYPIKEPIKE,NONE,2021-03-03 19:25:00
2612,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,S COLLEGE MALL RD,ENTRANCE TO EASTLAND PLAZA,,,,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,LEFT TURN,EASTLANDPLAZADRSCOLLEGEMALLRD,TRAFFIC CONTROL SIGNAL,2021-03-02 05:59:00
2613,BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0,0,,,,SR 45/46,N WALNUT ST,,,,39.186368,-86.5344,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,NWALNUTSTSR4546W,TRAFFIC CONTROL SIGNAL,2021-03-02 08:00:00
2614,MONROE SD,BLOOMINGTON,3,0.0,1.0,0,0,,,,S WALNUT ST,S ROGERS ST,,200.0,N,39.12038461,-86.537935,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,REAR END,SOUTHOLDSTATEROAD37RDSOUTHROGERSST,NONE,2021-03-02 08:53:00
2615,MONROE SD,ELLETTSVILLE,2,0.0,0.0,0,0,,,,N CURRY PIKE,SR 46,,,,,,COUNTY ROAD,N,RURAL,N,N,N,,DAWN/DUSK,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,IMPROPER LANE USAGE,RIGHT TURN,NCURRYPIKEWSTATE46RD,TRAFFIC CONTROL SIGNAL,2021-03-02 14:16:00
2616,BLOOMINGTON PD,BLOOMINGTON,3,0.0,1.0,0,0,,,,E 3RD ST,S WASHINGTON ST,,,,39.16464,-86.5324,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,IMPROPER LANE USAGE,RIGHT ANGLE,E3RDSTSWASHINGTONST,TRAFFIC CONTROL SIGNAL,2021-03-02 20:25:00
2617,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,S WALNUT ST,ENTRANCE TO SPRING DRY CLEANERS & LAUNDRY,,500.0,N,,,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DARK (LIGHTED),CLOUDY,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,BURKSDRWALNUTST,NONE,2021-03-02 23:06:00
2618,MONROE SD,ELLETTSVILLE,1,0.0,2.0,0,0,,,,N MATTHEWS DR,,,500.0,S,39.245408,-86.6204,COUNTY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,WET,,FOUR-WAY INTERSECTION,CURVE/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,MAPLEGROVERDWESTMATTHEWSDR,NONE,2021-03-01 00:13:00
2619,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,3534,,,E JOHN HINKLE PL,,,,,39.171344,-86.49296,UNKNOWN,N,URBAN,N,N,N,,DAWN/DUSK,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,BACKING CRASH,EJOHNHINKLEPL,NONE,2021-03-01 07:14:00
2620,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,2200,,,W 3RD ST,S MULLER PKWY,,100.0,E,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT/RIGHT TURN,MULLERPKWYW3RDST,NONE,2021-03-01 07:55:00
2621,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,N DUNN ST,E 19TH ST,,,,,,UNKNOWN,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,CONCRETE,IMPROPER TURNING,RIGHT TURN,DUNNSTNINETEENTHST,NONE,2021-03-01 12:40:00
2622,BLOOMINGTON PD,BLOOMINGTON,2,0.0,2.0,0,0,,,,E 10TH ST,N GRANT ST,,,,39.171696,-86.529696,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,EAST10THSTNORTHGRANTST,STOP SIGN,2021-03-01 13:03:00
2623,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,3,0.0,0.0,0,0,,,,SR 46,SR 45,,,,,,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SR45SR46,TRAFFIC CONTROL SIGNAL,2021-03-01 13:10:00
