_id,Agency,City,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control,DateTime
2005,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,E 10TH ST,N FEE LN,,,,39.171606,-86.519002,LOCAL/CITY ROAD,N,URBAN,N,N,Y,LANE CLOSURE,DAYLIGHT,CLOUDY,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,ENGINE FAILURE OR DEFECTIVE,BACKING CRASH,FEELNTENTHST,TRAFFIC CONTROL SIGNAL,2021-05-28 12:35:00
2006,BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0,0,,,,N WALNUT ST,W OLD SR 37,,,,39.20704,-86.534704,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,NORTHOLDSTATEROAD37STNORTHWALNUTST,TRAFFIC CONTROL SIGNAL,2021-05-28 13:23:00
2007,ELLETTSVILLE PD,ELLETTSVILLE,2,0.0,0.0,0,0,,,,SR 46,N DEER PARK DR,,200.0,W,39.213301,-86.58664168,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,REAR END,DEERPARKDRSR4200W,LANE CONTROL,2021-05-28 13:59:00
2008,BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0,0,310,,,W GEORGIA AVE,ENTRANCE TO PARKING GARAGE,,,,39.17441927,-86.53085976,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WATER (STANDING OR MOVING),,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,W12THST,STOP SIGN,2021-05-28 16:10:00
2009,BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0,0,2545,,,S LEONARD SPRINGS RD,W WALNUT LEAF DR,,,,39.140388,-86.582275,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,CONCRETE,UNSAFE LANE MOVEMENT,RAN OFF ROAD,SOUTHLEONARDSPRINGSRD,NONE,2021-05-28 17:03:00
2010,ELLETTSVILLE PD,ELLETTSVILLE,1,0.0,0.0,0,0,,,,SR 46,W FLATWOODS RD,,250.0,W,39.25308909,-86.6542203,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLOUDY,WET,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,OVERCORRECTING/OVERSTEERING,RAN OFF ROAD,FLATWOODSRDSR46W,NONE,2021-05-28 17:24:00
2011,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,SR 46,S SMITH RD,,,,39.16424,-86.480688,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,T-INTERSECTION,STRAIGHT/HILLCREST,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,SMITHRDSR46E,STOP SIGN,2021-05-28 18:00:00
2012,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,3.0,0,0,,,,SR 45/46,E 17TH ST,,,,39.1797431,-86.5073177,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,EAST17THSTSR46,TRAFFIC CONTROL SIGNAL,2021-05-28 18:56:00
2013,ISP BLOOMINGTON 33,ELLETTSVILLE,2,,0.0,0,0,,,,W RICHLAND PLAZA DR,N UNION VALLEY RD,,0.0,,39.21675092,-86.59275037,LOCAL/CITY ROAD,,RURAL,N,N,N,,DAYLIGHT,CLOUDY,DRY,,T-INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,WRichlandPlazaDrNUnionValleyRd,,2021-05-27 00:00:00
2014,ISP BLOOMINGTON 33,UNIONVILLE(MONROE),1,,1.0,0,0,,,,SR 45,E MARTIN DR,,0.0,,39.20451449,-86.46322335,STATE ROAD,,RURAL,N,N,N,,DAYLIGHT,FOG/SMOKE/SMOG,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE SPEED,RAN OFF ROAD,StateRd45NMartinDr,,2021-05-27 08:10:00
2015,ELLETTSVILLE PD,ELLETTSVILLE,2,0.0,0.0,0,0,,,,SR 46,N MATTHEWS DR (N),,,,39.236096,-86.625168,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT TURN,MAINSTMATTHEWSDR,TRAFFIC CONTROL SIGNAL,2021-05-27 11:25:00
2016,BLOOMINGTON PD,BLOOMINGTON,1,1.0,0.0,0,0,,,,SR 46,S CLARIZZ BLVD,,,,39.16424,-86.4908,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,OTHER - EXPLAIN IN NARRATIVE,E3RDSTSCLARIZZBLVD,TRAFFIC CONTROL SIGNAL,2021-05-27 14:39:00
2017,BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0,0,,,,S WEIMER RD,W WAPEHANI RD,,,,39.142608,-86.562048,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,UNSAFE SPEED,RAN OFF ROAD,SWEIMERRDWWAPEHANIRD,NONE,2021-05-27 15:25:00
