Agency,City,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control,DateTime
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,S OLCOTT,S KINGS CT,,200.0,N,39.16180596,-86.48702,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAWN/DUSK,RAIN,WET,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,LEFT OF CENTER,OPPOSITE DIRECTION SIDESWIPE,KINGSCTOLCOTTBLVD,NONE,2019-01-23 07:40:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,W 3RD,,,,,0.0,0.0,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,I69W3RDST,TRAFFIC CONTROL SIGNAL,2019-01-23 12:29:00
MONROE SD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,W CHURCH,S VICTOR PIKE,,,,39.10745,-86.54986,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAWN/DUSK,CLOUDY,WET,,T-INTERSECTION,STRAIGHT/HILLCREST,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,REAR END,SVICTORPIKEWCHURCHLN,STOP SIGN,2019-01-23 17:14:00
MONROE SD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,N CURRY,W VERNAL PIKE,,,,39.179248,-86.5832,COUNTY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),SLEET/HAIL/FREEZING RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT/RIGHT TURN,CURRYPIKEVERNALPIKE,TRAFFIC CONTROL SIGNAL,2019-01-24 18:31:00
BLOOMINGTON PD,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,,,N COLLEGE,W 15TH ST,,,,39.17688,-86.534736,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,DRIVER ASLEEP OR FATIGUED,OTHER - EXPLAIN IN NARRATIVE,NCOLLEGEAVEW15THST,NONE,2019-01-24 01:21:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,N WALDRON,W 6TH ST,,100.0,N,39.17820526,-86.54373,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,SAME DIRECTION SIDESWIPE,6THSTWALDRONST,NONE,2019-01-24 23:50:00
MONROE SD,BLOOMINGTON,1,0.0,0.0,0.0,0.0,,,,W HERITAGE,S CURRY PIKE,,30.0,N,39.153504,-86.58272,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,COLLISION WITH OBJECT IN ROAD,SCURRYPIKEWHERITAGEWAY,NONE,2019-01-24 13:43:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0.0,0.0,,,,W TAPP,S ROCKPORT RD,,100.0,W,39.13635,-86.54874134,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,CELL PHONE USAGE,REAR END,SROCKPORTRDWTAPPRD,NONE,2019-01-24 19:25:00
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0.0,0.0,,,,N INDIANA,E 17TH ST,,,,39.160855,-86.52593002,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,OTHER - EXPLAIN IN NARRATIVE,IMPROPER TURNING,OTHER - EXPLAIN IN NARRATIVE,FESSAVEINDIANAAVE,LANE CONTROL,2019-01-25 18:00:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0.0,0.0,,,,N WALNUT,W OLD SR 37,,,,39.250688,-86.529744,STATE ROAD,N,RURAL,N,N,N,,DAWN/DUSK,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,NWALNUTSTSR37N,TRAFFIC CONTROL SIGNAL,2019-01-25 18:13:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,W 17TH,N WILLIS DR,,125.0,W,39.179104,-86.544016,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,NWILLISDRW17THST,NONE,2019-01-25 18:43:00
MONROE SD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,E BETHEL,N HINKLE RD,,,,39.212848,-86.505392,COUNTY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,EBETHELLNNHINKLERD,NONE,2019-01-25 15:46:00
MONROE SD,BLOOMINGTON,1,0.0,0.0,0.0,0.0,,,,N BOTTOM,,,1500.0,N,39.251728,-86.545952,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,ICE,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,NBOTTOMRDWYLIERD,NONE,2019-01-25 07:05:00
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,,,N WOODLAWN,E 7TH ST,,,,39.16864,-86.523392,,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,LEFT TURN,E7THSTWOODLAWNAVE,STOP SIGN,2019-01-25 10:23:00
ISP BLOOMINGTON 33,BLOOMINGTON,3,0.0,0.0,0.0,0.0,,,,SR 45,S DUNCAN RD,,100.0,W,39.13485593,-86.59645375,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,LEFT OF CENTER,OPPOSITE DIRECTION SIDESWIPE,SOUTHDUNCANRDSR45,LANE CONTROL,2019-01-25 13:15:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0.0,0.0,,,,S COLLEGE MALL,E 3RD ST,,,,39.16424,-86.4984,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),SNOW,SNOW/SLUSH,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,COLLEGEMALLRDE3RDST,TRAFFIC CONTROL SIGNAL,2019-01-26 20:00:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,N COLLEGE,W KIRKWOOD AVE,,,,39.16664,-86.5348,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,BLOWING SAND/SOIL/SNOW,SNOW/SLUSH,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,NCOLLEGEAVEWKIRKWOODAVE,NONE,2019-01-26 16:30:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,E 7TH,N WASHINGTON ST,,50.0,W,39.16864,-86.53257642,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),SNOW,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,SAME DIRECTION SIDESWIPE,7THSTWASHINGTONST,LANE CONTROL,2019-01-26 23:58:00
MONROE SD,BLOOMINGTON,1,0.0,0.0,0.0,0.0,4041.0,,,E BETHEL,,,,,39.21406241,-86.47899777,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLOUDY,ICE,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,ROADWAY SURFACE CONDITION,RAN OFF ROAD,EBETHELLN,LANE CONTROL,2019-01-26 19:30:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0.0,0.0,,,,E HILLSIDE,S OLIVE ST,,10.0,W,39.150656,-86.5188,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,LEFT OF CENTER,OPPOSITE DIRECTION SIDESWIPE,EHILLSIDEDRSOLIVEST,NONE,2019-01-26 21:19:00
MONROE SD,BLOOMINGTON,1,0.0,0.0,0.0,0.0,,,,N RUSSELL,E COMMODORE TRAIL,,750.0,N,39.26627351,-86.48181,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),SNOW,SNOW/SLUSH,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,ECOMMODORETRLNRUSSELLRD,NONE,2019-01-26 22:51:00
MONROE SD,BLOOMINGTON,1,0.0,0.0,0.0,0.0,,,,S BREEDEN,W GRAVES RD,,500.0,S,39.058176,-86.671264,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),SNOW,SNOW/SLUSH,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,SBREEDENRDWGRAVESRD,NONE,2019-01-26 18:29:00
MONROE SD,BLOOMINGTON,1,0.0,0.0,0.0,0.0,,,,S STRAIN RIDGE,GREEN ST,,405.0,N,39.10127054,-86.50779,COUNTY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),SNOW,ICE,,NO JUNCTION INVOLVED,STRAIGHT/HILLCREST,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,GREENSTSTRAINRIDGERD,NONE,2019-01-26 19:01:00
MONROE SD,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,,,S WALNUT,,,300.0,N,39.099408,-86.537904,COUNTY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),SNOW,ICE,NONE,T-INTERSECTION,CURVE/LEVEL,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,RAN OFF ROAD,SOLDSTATE37RDSROGERSST,NONE,2019-01-26 19:05:00
MONROE SD,BLOOMINGTON,1,0.0,0.0,0.0,0.0,1200.0,,,SMITHVILLE,,,,,39.06803017,-86.522058,COUNTY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/HILLCREST,ASPHALT,DRIVER ASLEEP OR FATIGUED,RAN OFF ROAD,SMITHVILLERDS,NONE,2019-01-26 12:40:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,SR 48,ENTRANCE TO KROGER GAS PUMPS,,,,0.0,0.0,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,3RDSTENTRANCETOKROGERGASPUMPSDR,STOP SIGN,2019-01-26 11:48:00
ISP BLOOMINGTON 33,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,N CURRY,W JONATHAN DR,,,,39.16836,-86.58295,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,CURRYPIKEJONATHANDR,TRAFFIC CONTROL SIGNAL,2019-01-27 11:30:00
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,E 17TH,N LINCOLN ST,,,,39.17904,-86.530848,LOCAL/CITY ROAD,N,URBAN,N,N,Y,WORK ON SHOULDER,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,EAST17THSTLINCOLNST,NONE,2019-01-27 14:20:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,2.0,0.0,0.0,,,,E 2ND,S HENDERSON ST,,,,39.16136,-86.52722,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,UNSAFE SPEED,HEAD ON BETWEEN TWO MOTOR VEHICLES,E2NDSTSHENDERSONST,STOP SIGN,2019-01-27 16:55:00
ISP BLOOMINGTON 33,BLOOMINGTON,1,0.0,0.0,0.0,0.0,,,,I-69 N,,,500.0,S,0.0,0.0,INTERSTATE,N,RURAL,N,N,N,,DARK (NOT LIGHTED),BLOWING SAND/SOIL/SNOW,ICE,,NO JUNCTION INVOLVED,CURVE/LEVEL,CONCRETE,SPEED TOO FAST FOR WEATHER CONDITIONS,OTHER - EXPLAIN IN NARRATIVE,I69106.5,LANE CONTROL,2019-01-27 01:30:00
BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0.0,0.0,,,,N ADAMS,W 8TH ST,,150.0,S,39.169648,-86.54968,LOCAL/CITY ROAD,N,URBAN,Y,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,360NADAMSST8THST,LANE CONTROL,2019-01-27 12:00:00
MONROE SD,BLOOMINGTON,1,0.0,0.0,0.0,0.0,,,,SR 446,S SWARTZ RIDGE RD,,,,39.1316,-86.447968,COUNTY ROAD,Y,RURAL,N,N,N,,DARK (NOT LIGHTED),SNOW,SNOW/SLUSH,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,STRD446RDSWARTZRIDGERD,STOP SIGN,2019-01-27 06:54:00
MONROE SD,BLOOMINGTON,1,0.0,0.0,0.0,0.0,7040.0,,,W TABOR HILL,N MT TABOR RD,,200.0,W,39.30645,-86.63238267,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,ICE,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,7040WTABORHILLRDNMTTABORRD,NONE,2019-01-27 06:15:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0.0,0.0,,,,E 3RD,S COLLEGE MALL RD,,,,39.16424,-86.4984,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,E3RDSTSCOLLEGEMALLRD,NONE,2019-01-28 16:41:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,S LIBERTY,SR 48,,100.0,S,39.15404055,-86.579295,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAWN/DUSK,CLOUDY,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,SLIBERTYDRW3RDST,NONE,2019-01-28 17:20:00
BLOOMINGTON PD,BLOOMINGTON,2,1.0,0.0,0.0,0.0,,,,S COLLEGE,W 3RD ST,,,,39.16464,-86.534816,LOCAL/CITY ROAD,Y,,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,SAME DIRECTION SIDESWIPE,SCOLLEGEAVEW3RDST,TRAFFIC CONTROL SIGNAL,2019-01-28 15:00:00
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,,,N INDIANA,E 17TH ST,,,,39.179024,-86.5272,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,EAST17THSTINDIANAAVE,STOP SIGN,2019-01-28 08:37:00
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,E 11TH,N FEE LN,,606.0,N,39.171584,-86.518688,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,E11THSTFEELN,NONE,2019-01-28 19:05:00
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0.0,0.0,,,,E 17TH,N WOODLAWN AVE,,,,39.178992,-86.523504,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,17THSTWOODLAWNAVE,LANE CONTROL,2019-01-28 08:30:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,E 9TH,N PARK AVE,,100.0,W,39.170544,-86.52491284,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,OTHER - EXPLAIN IN NARRATIVE,HOLES/RUTS IN SURFACE,SAME DIRECTION SIDESWIPE,9THSTPARKAVE,NONE,2019-01-28 09:42:00
BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0.0,0.0,,,,E MAXWELL,,,3000.0,E,39.15776,-86.50872952,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,HIGHSTMAXWELLAVE,OTHER REGULATORY SIGN/MARKING,2019-01-28 03:38:00
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,S JORDAN,UNIVERSITY AVE,,200.0,N,39.18821882,-86.51599035,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,WET,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,JORDANAVEAVEUNIVERSITYAVE,NONE,2019-01-28 11:20:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,SR 45/46,N COLLEGE AVE,,,,39.186352,-86.534704,STATE ROAD,N,URBAN,N,N,N,,DAWN/DUSK,SNOW,SNOW/SLUSH,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,COLLEGEAVESR4546W,TRAFFIC CONTROL SIGNAL,2019-01-29 07:33:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,SR 45/46,N WALNUT ST,,,,39.186368,-86.5344,STATE ROAD,N,URBAN,N,N,N,,DAWN/DUSK,CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,SAME DIRECTION SIDESWIPE,SR4546EWALNUTST,NONE,2019-01-29 07:12:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,S WALNUT,E 3RD ST,,,,39.16464,-86.5336,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,E3RDSTSOUTHWALNUTST,TRAFFIC CONTROL SIGNAL,2019-01-29 15:15:00
MONROE SD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,SR 46,W ARLINGTON RD,,,,39.209808,-86.582672,STATE ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),SNOW,SNOW/SLUSH,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,ARLINGTONRDSR46W,TRAFFIC CONTROL SIGNAL,2019-01-29 19:45:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0.0,0.0,,,,S WALNUT,E MILLER DR,,300.0,S,39.14614153,-86.53230384,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,MILLERDRWALNUTST,NONE,2019-01-29 13:25:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,E 10TH,N DUNN ST,,,,39.17168,-86.528256,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,E10THSTNDUNNST,NONE,2019-01-29 11:09:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,E 17TH,N WALNUT ST,,150.0,E,39.178944,-86.533392,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),BLOWING SAND/SOIL/SNOW,SNOW/SLUSH,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,E17THSTNWALNUTST,NONE,2019-01-29 18:55:00
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,E LINGELBACH,E LINGELBACH LN,,500.0,E,39.17662,-86.50819325,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),SNOW,ICE,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,OTHER - EXPLAIN IN NARRATIVE,ELINGELBACHLNLINGELBACHLN,NONE,2019-01-29 23:15:00
ISP BLOOMINGTON 33,BLOOMINGTON,1,0.0,0.0,0.0,0.0,,,,I-69 N,,,100.0,N,0.0,0.0,INTERSTATE,N,RURAL,N,Y,N,,DARK (NOT LIGHTED),SNOW,SNOW/SLUSH,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,OTHER - EXPLAIN IN NARRATIVE,I69106.5,LANE CONTROL,2019-01-29 20:48:00
MONROE SD,BLOOMINGTON,1,0.0,0.0,0.0,0.0,,,,I-69 N,,,2600.0,N,0.0,0.0,STATE ROAD,N,URBAN,N,Y,N,,DARK (LIGHTED),BLOWING SAND/SOIL/SNOW,SNOW/SLUSH,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,ROADWAY SURFACE CONDITION,RAN OFF ROAD,SR69NWSAMPLERD,NONE,2019-01-29 19:32:00
ISP BLOOMINGTON 33,BLOOMINGTON,1,0.0,0.0,0.0,0.0,,,,I-69 S,,,,,0.0,0.0,INTERSTATE,N,RURAL,N,Y,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH OBJECT IN ROAD,I69130.5,LANE CONTROL,2019-01-29 10:50:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,N KINSER,W VAUGHN CLIPP WAY,,,,39.182355,-86.53774,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),BLOWING SAND/SOIL/SNOW,SNOW/SLUSH,,T-INTERSECTION,STRAIGHT/HILLCREST,ASPHALT,UNSAFE SPEED,RIGHT ANGLE,NKINSERPIKEVAUGHNCLIPPDR,NONE,2019-01-29 20:35:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,1.0,0.0,0.0,,,,N WALNUT,E 14TH ST,,,,39.175952,-86.53344,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),SNOW,SNOW/SLUSH,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,OTHER - EXPLAIN IN NARRATIVE,E14THSTNWALNUTST,STOP SIGN,2019-01-29 19:10:00
MONROE SD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,S CRAMER,S WICKENS ST,,700.0,E,39.12455,-86.54780058,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),SNOW,SNOW/SLUSH,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,BACKING CRASH,SCRAMERCIRSWICKENSST,NONE,2019-01-29 18:43:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,W PATTERSON,S ROGERS ST,,60.0,W,39.153605,-86.5387248,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,SNOW,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,REAR END,SROGERSSTWPATTERSONDR,LANE CONTROL,2019-01-29 08:59:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,SR 45,S LEONARD SPRINGS RD,,,,39.142048,-86.582592,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,SLEONARDSPRINGSRDWSTATEROAD45HWY,TRAFFIC CONTROL SIGNAL,2019-01-30 16:30:00
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0.0,,,,SR 45/46,N KINSER PIKE,,,,39.186544,-86.537888,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,SNOW/SLUSH,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,ROADWAY SURFACE CONDITION,REAR END,KINSERPIKESR4546E,TRAFFIC CONTROL SIGNAL,2019-01-30 09:47:00
